COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MIN
;;;;TEMPERATURA MÍNIMA ABSOLUTA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MIN
C054;Otxandio;556;-2.6;-5.5;-2.4;-2.5;-1.2;6.0;6.1;6.5;6.7;-0.8;-2.0;-4.5;-5.5
C042;Punta Galea;61;4.2;1.5;5.1;4.9;6.1;12.6;13.0;14.4;12.8;7.8;6.4;3.1;1.5
C0B9;Sangroniz;10;0.3;-2.1;0.4;0.3;1.4;9.7;8.6;10.2;10.0;3.1;2.3;-1.0;-2.1
C0C3;Sodupe;56;0.0;-2.1;0.5;-0.3;2.2;8.0;9.2;10.0;10.6;3.7;0.5;-1.0;-2.1
C066;Untzueta;764;-0.1;-2.7;-0.8;0.7;2.7;7.4;9.5;8.9;8.3;6.0;0.1;-1.5;-2.7
C022;Urkiola;709;-1.2;-5.3;-2.1;-2.1;1.1;5.4;7.0;7.4;6.5;3.0;-0.6;-3.2;-5.3
C0B3;Urkizu;75;-0.7;-2.4;-0.6;-0.2;2.0;8.8;8.1;9.8;9.8;2.8;1.2;-2.0;-2.4
C037;Venta Alta;162;0.5;-1.7;2.5;0.7;3.2;9.4;9.3;10.8;10.9;4.2;3.3;-0.3;-1.7
C0E5;Agauntza;180;-0.1;-1.6;0.3;1.1;1.9;9.5;9.3;10.1;10.2;2.9;0.7;-1.8;-1.8
C0DB;Aitzu;312;-1.2;-3.3;-1.6;-0.4;0.4;7.1;7.6;8.9;8.4;1.5;-0.8;-2.4;-3.3
C0D3;Aixola;320;0.7;-1.9;0.0;0.7;1.4;8.4;7.9;9.6;9.4;1.6;1.4;-0.3;-1.9
C0DD;Aizarnazabal;25;2.0;-1.7;1.1;1.7;2.7;9.6;9.6;10.7;10.7;3.6;3.0;0.1;-1.7
C0E9;Alegia;90;0.7;-1.4;1.7;2.1;3.0;10.0;10.2;10.4;10.8;4.9;1.8;-1.8;-1.8
C078;Altzola;17;2.0;-1.1;0.9;1.4;3.0;9.5;10.1;11.1;10.3;4.7;1.9;-0.5;-1.1
C052;Ameraun;285;1.2;-2.5;-0.1;1.4;1.6;8.7;7.6;9.0;9.5;2.4;0.9;-1.8;-2.5
C0E1;Amundarain;111;-0.7;-3.4;0.0;0.2;0.9;9.1;7.7;8.9;9.0;1.9;-0.3;-3.8;-3.8
C077;Andoain;52;1.2;-1.9;0.7;2.0;2.9;10.3;8.8;10.4;10.5;3.2;1.4;-1.3;-1.9
C080;Añarbe;184;0.1;-3.0;-0.6;0.4;0.7;7.6;7.1;8.3;8.6;1.9;0.9;-2.7;-3.0
C0E8;Araxes;141;0.0;-2.1;0.6;1.6;1.7;9.4;8.5;9.9;10.0;3.7;2.9;-1.3;-2.1
C023;Arrasate;318;-1.2;-3.8;-2.1;-1.8;0.1;8.0;7.9;8.9;9.5;1.8;-1.4;-1.7;-3.8
C084;Behobia;5;2.8;-1.2;2.9;3.8;4.7;10.2;10.4;12.2;11.3;5.8;2.7;-0.7;-1.2
C0EA;Belauntza;105;0.6;-1.8;0.8;2.2;3.2;11.5;10.4;11.9;11.8;4.9;2.5;-0.6;-1.8
C026;Berastegi;379;-1.7;-5.2;-1.8;-0.4;0.3;7.4;6.6;7.8;8.1;1.1;-0.3;-3.9;-5.2
C058;Bidania;592;-0.7;-3.6;-0.7;0.4;2.3;6.9;9.2;9.3;8.0;4.2;-0.6;-0.4;-3.6
C0F0;Ereñozu;25;2.7;-0.8;1.9;2.7;3.7;10.1;9.6;11.2;10.8;4.5;2.1;-0.9;-0.9
C0E7;Estanda;195;0.0;-1.9;-0.2;0.8;1.4;9.0;9.2;9.7;10.3;4.0;0.6;-2.6;-2.6
C018;Higer;43;4.9;0.6;4.2;6.0;6.7;12.6;13.4;14.0;13.0;7.4;5.2;1.2;0.6
C0DC;Ibai Eder;90;1.2;-0.9;0.8;1.8;3.3;10.2;10.2;11.5;11.3;4.6;1.8;-1.0;-1.0
C071;Jaizkibel;545;0.6;-0.1;1.6;3.5;5.2;9.4;11.5;13.2;10.9;7.2;2.3;2.8;-0.1
C0EC;Lasarte;18;2.8;-0.3;2.1;3.7;3.8;10.8;10.6;12.5;11.5;5.8;3.8;-0.8;-0.8
C0DE;Matxinbenta;250;2.4;0.3;1.9;3.2;3.4;10.3;10.0;11.7;11.3;4.9;3.1;1.0;0.3
C017;Miramon;113;1.6;-1.2;1.8;3.7;4.4;10.8;10.5;12.2;11.2;5.8;3.4;0.4;-1.2
C0F4;Oiartzun;53;1.1;-1.5;1.7;3.0;4.2;10.2;10.8;12.2;11.4;5.1;1.7;-0.7;-1.5
C0D1;Oñati;195;-0.4;-1.9;-0.4;-0.3;0.7;8.1;8.1;9.1;9.6;3.1;0.2;-2.9;-2.9
C043;Ordizia;243;0.6;-2.0;0.7;1.4;2.7;10.2;10.6;11.2;10.2;4.8;1.5;-1.6;-2.0
C0D2;San Prudentzio;175;0.6;-1.2;0.3;0.3;1.6;9.0;9.5;10.3;10.9;4.3;1.5;-1.1;-1.2
C007;Santa Clara;48;4.0;0.8;3.8;5.0;5.6;11.9;12.1;13.6;13.5;7.0;4.9;7.2;0.8
C0D0;Urkulu;340;-0.9;-2.7;-0.1;0.3;1.3;7.8;8.5;9.7;9.2;2.5;0.5;-2.2;-2.7
C064;Zarautz;80;3.2;0.8;3.4;4.7;5.1;11.4;11.9;14.1;12.8;7.5;4.9;3.7;0.8
C028;Zegama;520;0.2;-1.7;0.6;1.8;3.4;8.8;10.7;11.7;9.5;5.4;0.4;0.2;-1.7
C029;Zizurkil;149;2.8;-1.3;1.8;3.8;2.9;11.3;10.1;11.8;12.0;4.8;2.4;1.0;-1.3
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MIN
;;;;TEMPERATURA MÍNIMA ABSOLUTA (ºC);;;;;;;;;;;
