code,year,month,temp_min_abs
C069,2016,12,3.3
C0B6,2016,1,-0.6
C0B6,2016,2,-2.1
C0B6,2016,3,-0.9
C0B6,2016,4,0.0
C0B6,2016,5,1.4
C0B6,2016,6,9.0
C0B6,2016,7,7.6
C0B6,2016,8,9.0
C0B6,2016,9,9.4
C0B6,2016,10,2.8
C0B6,2016,11,0.2
C0B6,2016,12,-2.5
C0BE,2016,1,3.5
C0BE,2016,2,0.5
C0BE,2016,3,2.4
C0BE,2016,4,2.7
C0BE,2016,5,3.9
C0BE,2016,6,10.8
C0BE,2016,7,10.9
C0BE,2016,8,11.9
C0BE,2016,9,11.7
C0BE,2016,10,5.0
C0BE,2016,11,3.3
C0BE,2016,12,0.8
C065,2016,1,1.4
C065,2016,2,-1.2
C065,2016,3,0.8
C065,2016,4,1.4
C065,2016,5,3.5
C065,2016,6,8.0
C065,2016,7,10.0
C065,2016,8,10.9
C065,2016,9,10.8
C065,2016,10,7.9
C065,2016,11,2.4
C065,2016,12,4.9
C003,2016,1,0.2
C003,2016,2,-2.0
C003,2016,3,1.8
C003,2016,4,1.8
C003,2016,5,2.0
C003,2016,6,10.3
C003,2016,7,9.8
C003,2016,8,11.0
C003,2016,9,10.5
C003,2016,10,4.2
C003,2016,11,3.0
C003,2016,12,-1.2
C039,2016,1,3.6
C039,2016,2,1.4
C039,2016,3,5.3
C039,2016,4,4.7
C039,2016,5,6.8
C039,2016,6,13.1
C039,2016,7,13.4
C039,2016,8,14.8
C039,2016,9,13.6
C039,2016,10,8.4
C039,2016,11,6.0
C039,2016,12,3.3
C075,2016,1,1.9
C075,2016,2,-1.3
C075,2016,3,0.9
C075,2016,4,1.4
C075,2016,5,2.5
C075,2016,6,9.7
C075,2016,7,9.8
C075,2016,8,10.8
C075,2016,9,10.7
C075,2016,10,4.5
C075,2016,11,1.5
C075,2016,12,0.2
C074,2016,1,0.3
C074,2016,2,-1.5
C074,2016,3,0.6
C074,2016,4,1.2
C074,2016,5,1.9
C074,2016,6,9.5
C074,2016,7,9.1
C074,2016,8,10.6
C074,2016,9,9.4
C074,2016,10,3.3
C074,2016,11,1.1
C074,2016,12,-1.0
C038,2016,1,3.6
C038,2016,2,0.8
C038,2016,3,4.4
C038,2016,4,4.5
C038,2016,5,6.2
C038,2016,6,12.1
