code,year,month,temp_max_abs
C065,2016,10,26.3
C065,2016,11,24.2
C065,2016,12,19.1
C003,2016,1,20.7
C003,2016,2,20.3
C003,2016,3,24.0
C003,2016,4,22.3
C003,2016,5,28.4
C003,2016,6,33.6
C003,2016,7,39.7
C003,2016,8,38.8
C003,2016,9,37.6
C003,2016,10,28.8
C003,2016,11,24.0
C003,2016,12,20.0
C039,2016,1,21.3
C039,2016,2,20.6
C039,2016,3,25.2
C039,2016,4,22.1
C039,2016,5,28.2
C039,2016,6,32.7
C039,2016,7,40.4
C039,2016,8,39.0
C039,2016,9,38.3
C039,2016,10,29.0
C039,2016,11,24.6
C039,2016,12,20.7
C075,2016,1,21.0
C075,2016,2,21.7
C075,2016,3,24.8
C075,2016,4,25.7
C075,2016,5,33.2
C075,2016,6,37.3
C075,2016,7,41.0
C075,2016,8,41.0
C075,2016,9,42.6
C075,2016,10,30.0
C075,2016,11,25.8
C075,2016,12,20.7
C074,2016,1,19.9
C074,2016,2,20.2
C074,2016,3,24.9
C074,2016,4,23.9
C074,2016,5,31.1
C074,2016,6,36.4
C074,2016,7,38.5
C074,2016,8,38.2
C074,2016,9,38.4
C074,2016,10,27.6
C074,2016,11,22.2
C074,2016,12,19.7
C038,2016,1,21.1
C038,2016,2,21.3
C038,2016,3,25.6
C038,2016,4,22.1
C038,2016,5,29.0
C038,2016,6,31.9
C038,2016,7,40.7
C038,2016,8,38.7
C038,2016,9,38.3
C038,2016,10,27.5
C038,2016,11,24.2
C038,2016,12,20.4
C033,2016,1,20.5
C033,2016,2,21.1
C033,2016,3,24.5
C033,2016,4,24.1
C033,2016,5,29.9
C033,2016,6,37.2
C033,2016,7,39.1
C033,2016,8,38.8
C033,2016,9,38.9
C033,2016,10,30.0
C033,2016,11,24.5
C033,2016,12,18.6
C0BD,2016,1,21.5
C0BD,2016,2,20.0
C0BD,2016,3,23.5
C0BD,2016,4,21.0
C0BD,2016,5,29.4
C0BD,2016,6,35.5
C0BD,2016,7,38.2
C0BD,2016,8,37.0
C0BD,2016,9,38.2
C0BD,2016,10,25.3
C0BD,2016,11,23.0
C0BD,2016,12,19.7
C036,2016,1,21.0
C036,2016,2,21.2
C036,2016,3,24.5
C036,2016,4,21.8
C036,2016,5,30.5
C036,2016,6,37.9
C036,2016,7,40.4
C036,2016,8,39.2
C036,2016,9,39.5
C036,2016,10,30.0
C036,2016,11,25.0
C036,2016,12,20.3
C045,2016,1,16.2
C045,2016,2,16.7
C045,2016,3,18.8
C045,2016,4,15.8
C045,2016,5,26.3
C045,2016,6,31.7
C045,2016,7,36.1
C045,2016,8,35.5
C045,2016,9,35.6
C045,2016,10,25.8
C045,2016,11,21.6
C045,2016,12,15.9
C0B7,2016,1,19.7
C0B7,2016,2,20.0
C0B7,2016,3,23.8
C0B7,2016,4,22.6
C0B7,2016,5,30.5
C0B7,2016,6,36.9
C0B7,2016,7,39.4
C0B7,2016,8,39.3
C0B7,2016,9,39.1
C0B7,2016,10,27.5
C0B7,2016,11,22.7
C0B7,2016,12,17.8
C019,2016,1,20.1
C019,2016,2,16.8
C019,2016,3,21.9
C019,2016,4,19.7
C019,2016,5,24.6
C019,2016,6,32.9
C019,2016,7,35.0
C019,2016,8,33.6
C019,2016,9,33.9
C019,2016,10,23.1
C019,2016,11,21.8
C019,2016,12,17.3
C057,2016,1,22.4
C057,2016,2,22.1
C057,2016,3,25.7
C057,2016,4,22.4
C057,2016,5,30.3
C057,2016,6,35.7
C057,2016,7,40.6
C057,2016,8,39.4
C057,2016,9,38.9
C057,2016,10,28.1
C057,2016,11,25.6
C057,2016,12,20.8
C063,2016,1,21.4
C063,2016,2,19.4
C063,2016,3,24.3
C063,2016,4,21.6
C063,2016,5,29.8
C063,2016,6,35.2
C063,2016,7,39.6
C063,2016,8,38.0
C063,2016,9,38.6
C063,2016,10,25.8
C063,2016,11,24.9
C063,2016,12,20.9
C046,2016,1,13.9
C046,2016,2,13.2
C046,2016,3,16.6
C046,2016,4,15.6
C046,2016,5,23.6
C046,2016,6,30.9
C046,2016,7,31.8
C046,2016,8,30.9
C046,2016,9,32.2
C046,2016,10,23.6
C046,2016,11,18.5
C046,2016,12,15.6
C0BA,2016,1,23.5
C0BA,2016,2,20.3
C0BA,2016,3,26.0
C0BA,2016,4,23.2
C0BA,2016,5,26.7
C0BA,2016,6,32.9
C0BA,2016,7,39.7
C0BA,2016,8,35.2
C0BA,2016,9,35.9
C0BA,2016,10,25.6
C0BA,2016,11,25.2
C0BA,2016,12,21.9
C059,2016,1,17.1
C059,2016,2,17.7
C059,2016,3,19.7
C059,2016,4,18.1
C059,2016,5,27.4
C059,2016,6,33.5
C059,2016,7,37.0
C059,2016,8,36.8
C059,2016,9,36.2
C059,2016,10,27.6
C059,2016,11,24.9
C059,2016,12,17.6
C072,2016,1,13.8
C072,2016,2,13.8
C072,2016,3,16.5
C072,2016,4,15.8
C072,2016,5,25.4
C072,2016,6,31.4
C072,2016,7,33.8
C072,2016,8,34.1
C072,2016,9,34.6
C072,2016,10,24.1
C072,2016,11,21.0
C072,2016,12,14.6
C0B4,2016,1,18.7
C0B4,2016,2,18.6
C0B4,2016,3,22.6
C0B4,2016,4,20.9
C0B4,2016,5,30.1
C0B4,2016,6,37.5
C0B4,2016,7,39.8
C0B4,2016,8,38.9
C0B4,2016,9,39.5
C0B4,2016,10,29.0
C0B4,2016,11,22.6
C0B4,2016,12,18.3
C054,2016,1,15.7
C054,2016,2,17.6
C054,2016,3,19.9
C054,2016,4,21.2
C054,2016,5,26.9
C054,2016,6,32.6
C054,2016,7,36.1
C054,2016,8,35.2
C054,2016,9,35.6
C054,2016,10,25.5
C054,2016,11,20.7
C054,2016,12,15.2
C042,2016,1,21.4
C042,2016,2,19.5
C042,2016,3,23.2
C042,2016,4,21.9
C042,2016,5,27.6
C042,2016,6,28.8
C042,2016,7,39.6
C042,2016,8,35.9
C042,2016,9,36.2
C042,2016,10,25.2
C042,2016,11,22.7
C042,2016,12,20.6
C0B9,2016,1,20.7
C0B9,2016,2,19.8
C0B9,2016,3,23.6
C0B9,2016,4,21.3
C0B9,2016,5,27.6
C0B9,2016,6,32.2
C0B9,2016,7,39.2
C0B9,2016,8,37.2
C0B9,2016,9,36.9
C0B9,2016,10,26.9
C0B9,2016,11,21.8
C0B9,2016,12,19.4
C0C3,2016,1,21.0
C0C3,2016,2,20.1
C0C3,2016,3,25.3
C0C3,2016,4,22.1
C0C3,2016,5,30.2
C0C3,2016,6,36.5
C0C3,2016,7,40.8
C0C3,2016,8,39.9
C0C3,2016,9,39.4
C0C3,2016,10,28.5
C0C3,2016,11,24.5
C0C3,2016,12,19.9
C066,2016,1,14.8
C066,2016,2,15.0
C066,2016,3,17.9
C066,2016,4,15.7
C066,2016,5,25.0
C066,2016,6,31.7
C066,2016,7,34.7
C066,2016,8,33.6
C066,2016,9,34.4
C066,2016,10,25.2
C066,2016,11,21.4
C066,2016,12,14.6
C022,2016,1,14.5
C022,2016,2,16.8
C022,2016,3,17.4
C022,2016,4,17.5
C022,2016,5,24.3
C022,2016,6,30.4
C022,2016,7,32.8
C022,2016,8,32.6
C022,2016,9,33.8
C022,2016,10,23.2
C022,2016,11,20.0
C022,2016,12,13.5
C0B3,2016,1,19.6
C0B3,2016,2,20.1
C0B3,2016,3,23.7
C0B3,2016,4,23.2
C0B3,2016,5,29.9
C0B3,2016,6,36.1
C0B3,2016,7,37.9
C0B3,2016,8,37.5
C0B3,2016,9,38.1
C0B3,2016,10,27.4
C0B3,2016,11,23.5
C0B3,2016,12,18.3
C037,2016,1,19.5
C037,2016,2,19.3
C037,2016,3,22.5
C037,2016,4,22.2
C037,2016,5,28.7
C037,2016,6,34.1
C037,2016,7,39.0
C037,2016,8,37.8
C037,2016,9,37.2
C037,2016,10,27.1
C037,2016,11,23.2
C037,2016,12,18.7
C0E5,2016,1,20.2
C0E5,2016,2,19.7
C0E5,2016,3,23.1
C0E5,2016,4,23.3
C0E5,2016,5,29.3
C0E5,2016,6,34.6
C0E5,2016,7,37.1
C0E5,2016,8,36.0
C0E5,2016,9,36.7
C0E5,2016,10,26.4
C0E5,2016,11,21.4
C0E5,2016,12,18.8
C0DB,2016,1,17.2
C0DB,2016,2,18.2
C0DB,2016,3,20.9
C0DB,2016,4,22.6
C0DB,2016,5,29.0
C0DB,2016,6,35.3
C0DB,2016,7,38.1
C0DB,2016,8,37.3
C0DB,2016,9,37.3
C0DB,2016,10,27.2
C0DB,2016,11,21.8
C0DB,2016,12,18.1
C0D3,2016,1,19.5
C0D3,2016,2,20.1
C0D3,2016,3,21.7
C0D3,2016,4,22.2
C0D3,2016,5,29.0
C0D3,2016,6,34.7
C0D3,2016,7,36.8
C0D3,2016,8,35.7
C0D3,2016,9,37.1
C0D3,2016,10,26.3
C0D3,2016,11,20.8
C0D3,2016,12,16.8
C0DD,2016,1,19.4
C0DD,2016,2,17.7
C0DD,2016,3,24.2
C0DD,2016,4,22.6
C0DD,2016,5,28.9
