code,year,month,humedad_media_diaria
C050,2016,8,60.4
C050,2016,9,66.2
C050,2016,10,73.8
C050,2016,11,80.1
C050,2016,12,93.6
C0B1,2016,1,83.2
C0B1,2016,2,91.3
C0B1,2016,3,94.2
C0B1,2016,4,80.0
C0B1,2016,5,84.9
C0B1,2016,6,95.1
C0B1,2016,7,95.1
C0B1,2016,8,77.0
C0B1,2016,9,78.3
C0B1,2016,10,79.3
C0B1,2016,11,81.4
C0B1,2016,12,80.6
C079,2016,1,82.6
C079,2016,2,84.6
C079,2016,3,83.7
C079,2016,4,74.8
C079,2016,5,75.4
C079,2016,6,80.3
C079,2016,7,80.7
C079,2016,8,77.6
C079,2016,9,82.4
C079,2016,10,84.5
C079,2016,11,89.3
C079,2016,12,88.2
C0C1,2016,1,79.8
C0C1,2016,2,80.6
C0C1,2016,3,80.4
C0C1,2016,4,73.0
C0C1,2016,5,73.0
C0C1,2016,6,76.2
C0C1,2016,7,76.5
C0C1,2016,8,73.1
C0C1,2016,9,78.2
C0C1,2016,10,79.8
C0C1,2016,11,85.1
C0C1,2016,12,86.4
C061,2016,1,68.8
C061,2016,2,76.2
C061,2016,3,77.2
C061,2016,4,71.8
C061,2016,5,75.0
C061,2016,6,82.5
C061,2016,7,83.4
C061,2016,8,78.4
C061,2016,9,80.7
C061,2016,10,77.9
C061,2016,11,78.9
C061,2016,12,77.1
C032,2016,1,77.3
C032,2016,2,79.0
C032,2016,3,79.0
C032,2016,4,69.2
C032,2016,5,71.7
C032,2016,6,74.3
C032,2016,7,75.0
C032,2016,8,71.1
C032,2016,9,75.7
C032,2016,10,77.3
C032,2016,11,82.9
C032,2016,12,81.8
C002,2016,1,76.6
C002,2016,2,77.6
C002,2016,3,76.8
C002,2016,4,70.5
C002,2016,5,72.9
C002,2016,6,77.6
C002,2016,7,77.6
C002,2016,8,76.0
C002,2016,9,79.9
C002,2016,10,80.9
C002,2016,11,82.8
C002,2016,12,79.8
C0C2,2016,1,76.4
C0C2,2016,2,78.0
C0C2,2016,3,76.9
C0C2,2016,4,72.1
C0C2,2016,5,70.1
C0C2,2016,6,73.4
C0C2,2016,7,74.7
