code,year,month,lam_agua_nivel_medio
C0B3,2016,12,0.203
C0E5,2016,1,0.278
C0E5,2016,2,0.432
C0E5,2016,3,0.472
C0E5,2016,4,0.340
C0E5,2016,5,0.199
C0E5,2016,6,0.200
C0E5,2016,7,0.169
C0E5,2016,8,0.143
C0E5,2016,9,0.152
C0E5,2016,10,0.148
C0E5,2016,11,0.288
C0E5,2016,12,0.168
C0DB,2016,1,0.250
C0DB,2016,2,0.453
C0DB,2016,3,0.436
C0DB,2016,4,0.300
C0DB,2016,5,0.170
C0DB,2016,6,0.142
C0DB,2016,7,0.105
C0DB,2016,8,0.088
C0DB,2016,9,0.114
C0DB,2016,10,0.101
C0DB,2016,11,0.224
C0DB,2016,12,0.134
C0D3,2016,1,0.099
C0D3,2016,2,0.178
C0D3,2016,3,0.201
C0D3,2016,4,0.138
C0D3,2016,5,0.109
C0D3,2016,6,0.099
C0D3,2016,7,0.093
C0D3,2016,8,0.067
C0D3,2016,9,0.062
C0D3,2016,10,0.057
C0D3,2016,11,0.086
C0D3,2016,12,0.062
C0DD,2016,1,0.451
C0DD,2016,2,0.780
C0DD,2016,3,0.799
C0DD,2016,4,0.604
C0DD,2016,5,0.375
C0DD,2016,6,0.326
C0DD,2016,7,0.300
C0DD,2016,8,0.289
C0DD,2016,9,0.323
C0DD,2016,10,0.281
C0DD,2016,11,0.502
C0DD,2016,12,0.335
C0E9,2016,1,0.496
C0E9,2016,2,0.769
C0E9,2016,3,0.834
C0E9,2016,4,0.610
C0E9,2016,5,0.353
C0E9,2016,6,0.326
C0E9,2016,7,0.256
C0E9,2016,8,0.223
C0E9,2016,9,0.270
C0E9,2016,10,0.242
C0E9,2016,11,0.456
C0E9,2016,12,0.287
C078,2016,1,0.577
C078,2016,2,0.975
C078,2016,3,1.025
C078,2016,4,0.694
C078,2016,5,0.438
C078,2016,6,0.369
C078,2016,7,0.325
C078,2016,8,0.281
C078,2016,9,0.326
C078,2016,10,0.292
C078,2016,11,0.524
C078,2016,12,0.359
C052,2016,1,0.566
C052,2016,2,0.803
C052,2016,3,0.967
C052,2016,4,0.656
C052,2016,5,0.479
C052,2016,6,0.482
C052,2016,7,0.453
C052,2016,8,0.333
C052,2016,9,0.120
C052,2016,10,0.194
C052,2016,11,0.302
C052,2016,12,0.025
C0E1,2016,1,0.314
C0E1,2016,2,0.439
C0E1,2016,3,0.497
C0E1,2016,4,0.352
C0E1,2016,5,0.225
C0E1,2016,6,0.217
C0E1,2016,7,0.158
C0E1,2016,8,0.125
C0E1,2016,9,0.167
C0E1,2016,10,0.165
C0E1,2016,11,0.343
C0E1,2016,12,0.201
C077,2016,1,0.413
C077,2016,2,0.583
C077,2016,3,0.656
C077,2016,4,0.486
C077,2016,5,0.370
C077,2016,6,0.342
C077,2016,7,0.274
C077,2016,8,0.234
C077,2016,9,0.253
C077,2016,10,0.240
C077,2016,11,0.479
C077,2016,12,0.318
C080,2016,1,0.317
C080,2016,2,0.542
C080,2016,3,0.585
C080,2016,4,0.412
C080,2016,5,0.296
C080,2016,6,0.261
C080,2016,7,0.226
C080,2016,8,0.256
C080,2016,10,0.266
C080,2016,11,0.432
C080,2016,12,0.200
C0E8,2016,1,0.420
C0E8,2016,2,0.607
C0E8,2016,3,0.647
C0E8,2016,4,0.467
C0E8,2016,5,0.310
C0E8,2016,6,0.264
C0E8,2016,7,0.198
C0E8,2016,8,0.179
C0E8,2016,9,0.200
C0E8,2016,10,0.200
C0E8,2016,11,0.408
C0E8,2016,12,0.273
C0EA,2016,1,0.242
C0EA,2016,2,0.337
C0EA,2016,3,0.393
C0EA,2016,4,0.317
C0EA,2016,5,0.239
C0EA,2016,6,0.212
C0EA,2016,7,0.184
C0EA,2016,8,0.166
C0EA,2016,9,0.163
C0EA,2016,10,0.153
C0EA,2016,11,0.254
C0EA,2016,12,0.196
C0F0,2016,1,0.553
C0F0,2016,2,0.803
C0F0,2016,3,0.892
C0F0,2016,4,0.633
C0F0,2016,5,0.459
C0F0,2016,6,0.472
C0F0,2016,7,0.402
C0F0,2016,8,0.336
C0F0,2016,9,0.337
C0F0,2016,10,0.287
C0F0,2016,11,0.636
C0F0,2016,12,0.468
C0E7,2016,1,0.176
C0E7,2016,2,0.348
C0E7,2016,3,0.365
C0E7,2016,4,0.261
C0E7,2016,5,0.144
C0E7,2016,6,0.118
C0E7,2016,7,0.092
C0E7,2016,8,0.077
C0E7,2016,9,0.083
C0E7,2016,10,0.081
C0E7,2016,11,0.158
C0E7,2016,12,0.111
