code,year,month,viento_velocidad_racha_maxima
C072,2016,2,149.8
C072,2016,3,120.6
C072,2016,4,125.3
C072,2016,5,99.0
C072,2016,6,74.5
C072,2016,7,77.0
C072,2016,8,63.0
C072,2016,9,110.2
C072,2016,10,86.8
C072,2016,11,127.1
C072,2016,12,97.2
C0B4,2016,1,61.9
C0B4,2016,2,70.9
C0B4,2016,3,54.7
C0B4,2016,4,52.9
C0B4,2016,5,48.6
C0B4,2016,6,44.6
C0B4,2016,7,38.5
C0B4,2016,8,39.6
C0B4,2016,9,58.3
C0B4,2016,10,40.3
C0B4,2016,11,52.9
C0B4,2016,12,61.2
C054,2016,1,73.4
C054,2016,2,73.1
C054,2016,3,77.0
C054,2016,4,49.0
C054,2016,5,58.0
C054,2016,6,51.1
C054,2016,7,37.1
C054,2016,8,37.8
C054,2016,9,57.2
C054,2016,10,38.9
C054,2016,11,46.1
C054,2016,12,49.3
C042,2016,1,118.4
C042,2016,2,134.6
C042,2016,3,115.2
C042,2016,4,116.3
C042,2016,5,86.8
C042,2016,6,81.4
C042,2016,7,70.9
C042,2016,8,80.6
C042,2016,9,121.0
C042,2016,10,67.7
C042,2016,11,114.5
C042,2016,12,90.4
C0C3,2016,1,70.9
C0C3,2016,2,76.3
C0C3,2016,3,53.3
C0C3,2016,4,77.4
C0C3,2016,5,63.7
C0C3,2016,6,60.5
C0C3,2016,7,56.9
C0C3,2016,8,54.4
C0C3,2016,9,53.6
C0C3,2016,10,55.4
C0C3,2016,11,60.5
C0C3,2016,12,54.4
C066,2016,1,121.3
C066,2016,2,112.7
C066,2016,3,98.6
C066,2016,4,102.2
C066,2016,5,100.8
C066,2016,6,64.8
C066,2016,7,63.4
C066,2016,8,71.6
C066,2016,9,91.8
C066,2016,10,73.8
C066,2016,11,86.0
C066,2016,12,73.8
C022,2016,1,78.1
C022,2016,2,112.0
C022,2016,3,97.9
C022,2016,4,79.2
C022,2016,5,73.4
C022,2016,6,52.2
C022,2016,7,50.0
C022,2016,8,51.1
C022,2016,9,78.1
C022,2016,10,54.4
C022,2016,11,79.2
C022,2016,12,79.9
C037,2016,1,87.8
C037,2016,2,100.4
C037,2016,3,89.3
C037,2016,4,78.1
C037,2016,5,78.5
C037,2016,6,56.2
C037,2016,7,58.0
C037,2016,8,68.8
C037,2016,9,83.2
C037,2016,10,61.2
C037,2016,11,87.5
C037,2016,12,70.2
C023,2016,1,83.5
C023,2016,2,103.3
C023,2016,3,80.6
C023,2016,4,78.1
C023,2016,5,79.2
C023,2016,6,75.2
C023,2016,7,54.7
C023,2016,8,49.3
C023,2016,9,93.6
C023,2016,10,60.1
C023,2016,11,79.2
C023,2016,12,55.4
C026,2016,1,76.3
C026,2016,2,78.1
C026,2016,3,64.8
C026,2016,4,68.0
C026,2016,5,66.6
C026,2016,6,56.2
C026,2016,7,49.7
C026,2016,8,42.8
C026,2016,9,72.0
C026,2016,10,62.6
C026,2016,11,78.5
C026,2016,12,72.4
C058,2016,1,84.2
C058,2016,2,97.9
C058,2016,3,82.8
C058,2016,4,67.3
C058,2016,5,75.6
C058,2016,6,50.4
C058,2016,7,43.2
C058,2016,8,73.4
C058,2016,9,94.7
C058,2016,10,63.4
C058,2016,11,68.0
C058,2016,12,61.2
C018,2016,1,105.5
C018,2016,2,105.1
C018,2016,3,94.3
C018,2016,4,73.8
C018,2016,5,70.6
C018,2016,6,72.0
