code,year,month,precipitacion_acumulada
C032,2016,7,27
C032,2016,8,7.3
C032,2016,9,95.1
C032,2016,10,14.2
C032,2016,11,168.6
C032,2016,12,31
C002,2016,1,148
C002,2016,2,387.7
C002,2016,3,221.2
C002,2016,4,49.6
C002,2016,5,79.7
C002,2016,6,47.4
C002,2016,7,35
C002,2016,8,9.1
C002,2016,9,107.1
C002,2016,10,47
C002,2016,11,232.4
C002,2016,12,16.7
C0C2,2016,1,82.1
C0C2,2016,2,264.2
C0C2,2016,3,258.3
C0C2,2016,4,64.9
C0C2,2016,5,47
C0C2,2016,6,35.5
C0C2,2016,7,18.4
C0C2,2016,8,10.6
C0C2,2016,9,58.8
C0C2,2016,10,13.5
C0C2,2016,11,177.1
C0C2,2016,12,31.6
C069,2016,1,179.7
C069,2016,2,425.9
C069,2016,3,225.5
C069,2016,4,55.4
C069,2016,5,75.4
C069,2016,6,60.1
C069,2016,7,37.7
C069,2016,8,13.9
C069,2016,9,126
C069,2016,10,49.6
C069,2016,11,340.2
C069,2016,12,28.1
C0B6,2016,1,139.6
C0B6,2016,2,382.4
C0B6,2016,3,272
C0B6,2016,4,77.7
C0B6,2016,5,59.8
C0B6,2016,6,48.7
C0B6,2016,7,47.1
C0B6,2016,8,16.3
C0B6,2016,9,88.5
C0B6,2016,10,39.7
C0B6,2016,11,193.2
C0B6,2016,12,18.6
C0BE,2016,1,129.6
C0BE,2016,2,347.4
C0BE,2016,3,208.2
C0BE,2016,4,58.6
C0BE,2016,5,57.7
C0BE,2016,6,36.4
C0BE,2016,7,40
C0BE,2016,8,12.6
C0BE,2016,9,67.1
C0BE,2016,10,45
C0BE,2016,11,215.2
C0BE,2016,12,20.5
C065,2016,1,108
C065,2016,2,316.1
C065,2016,3,281.7
C065,2016,4,104.8
C065,2016,5,46.4
C065,2016,6,43.2
C065,2016,7,43.8
C065,2016,8,25
C065,2016,9,101.8
C065,2016,10,46.2
C065,2016,11,195.4
C065,2016,12,50.4
C003,2016,1,119.2
C003,2016,2,348.2
C003,2016,3,231.3
C003,2016,4,53
C003,2016,5,62.4
C003,2016,6,49.5
C003,2016,7,56.8
C003,2016,8,10.7
C003,2016,9,92.3
C003,2016,10,16.1
C003,2016,11,226.5
C003,2016,12,33.8
C039,2016,1,97.5
C039,2016,2,277
C039,2016,3,208.5
C039,2016,4,55.9
C039,2016,5,42.8
C039,2016,6,40.6
C039,2016,7,37.9
C039,2016,8,4.4
C039,2016,9,95
C039,2016,10,11.3
C039,2016,11,179.9
C039,2016,12,39.2
C075,2016,1,145.8
C075,2016,2,386.1
C075,2016,3,314.8
C075,2016,4,97.7
C075,2016,5,68.5
C075,2016,6,47.7
C075,2016,7,46.7
C075,2016,8,25.4
C075,2016,9,77.3
C075,2016,10,23.9
C075,2016,11,212
C075,2016,12,18.2
C074,2016,1,131.1
C074,2016,2,319.1
C074,2016,3,262
C074,2016,4,86.7
C074,2016,5,57.3
C074,2016,6,49.6
C074,2016,7,60.9
C074,2016,8,21.7
C074,2016,9,74.2
C074,2016,10,29.9
C074,2016,11,185
C074,2016,12,17.2
C038,2016,1,114.5
C038,2016,2,306
C038,2016,3,227.8
C038,2016,4,63.8
C038,2016,5,62.2
C038,2016,6,48.2
C038,2016,7,46.1
C038,2016,8,10.5
C038,2016,9,117.4
C038,2016,10,18.5
C038,2016,11,199.8
C038,2016,12,43.7
C033,2016,1,110.4
C033,2016,2,317
C033,2016,3,312.2
C033,2016,4,68.1
C033,2016,5,65.1
C033,2016,6,57.2
C033,2016,7,56.7
C033,2016,8,11.2
C033,2016,9,83.6
C033,2016,10,31
C033,2016,11,200.4
C033,2016,12,27.8
C0BD,2016,1,175.4
C0BD,2016,2,408.4
C0BD,2016,3,287.3
C0BD,2016,4,82.6
C0BD,2016,5,72.2
C0BD,2016,6,50.2
C0BD,2016,7,51.6
C0BD,2016,8,13.8
C0BD,2016,9,75.8
C0BD,2016,10,39.5
C0BD,2016,11,261.5
C0BD,2016,12,23.8
C036,2016,1,123
C036,2016,2,332
C036,2016,3,255.2
C036,2016,4,84.2
C036,2016,5,50.3
C036,2016,6,39.7
C036,2016,7,24.2
C036,2016,8,11.5
C036,2016,9,70.4
C036,2016,10,23.4
C036,2016,11,175
C036,2016,12,21.7
C045,2016,1,92.9
C045,2016,2,258.8
C045,2016,3,211.8
C045,2016,4,69.6
C045,2016,5,39.2
C045,2016,6,31.3
C045,2016,7,42.2
C045,2016,8,20.9
C045,2016,9,83.4
C045,2016,10,21.2
C045,2016,11,180
C045,2016,12,32.1
C0B7,2016,1,125.1
C0B7,2016,2,346.8
C0B7,2016,3,297.2
C0B7,2016,4,81
C0B7,2016,5,49.5
C0B7,2016,6,52.9
C0B7,2016,7,44
C0B7,2016,8,11.5
C0B7,2016,9,87.7
C0B7,2016,10,24.5
C0B7,2016,11,203.7
C0B7,2016,12,18.5
C019,2016,1,142.1
C019,2016,2,324.1
C019,2016,3,167.8
C019,2016,4,39.6
C019,2016,5,62.1
C019,2016,6,55.6
C019,2016,7,92
C019,2016,8,23.4
C019,2016,9,93.9
C019,2016,10,51.4
C019,2016,11,283.2
