code,year,month,temp_media
C032,2016,2,8.4
C032,2016,3,8.5
C032,2016,4,11.3
C032,2016,5,14.8
C032,2016,6,17.5
C032,2016,7,19.3
C032,2016,8,20.3
C032,2016,9,18.5
C032,2016,10,14.2
C032,2016,11,9.9
C032,2016,12,8.3
C002,2016,1,11.5
C002,2016,2,10.4
C002,2016,3,10.4
C002,2016,4,12.8
C002,2016,5,16.1
C002,2016,6,18.4
C002,2016,7,20.6
C002,2016,8,21.1
C002,2016,9,19.6
C002,2016,10,15.3
C002,2016,11,11.4
C002,2016,12,10.6
C0C2,2016,1,7.7
C0C2,2016,2,6.6
C0C2,2016,3,6.9
C0C2,2016,4,9.2
C0C2,2016,5,13.1
C0C2,2016,6,15.8
C0C2,2016,7,17.5
C0C2,2016,8,18.4
C0C2,2016,9,16.7
C0C2,2016,10,11.9
C0C2,2016,11,7.5
C0C2,2016,12,5.7
C069,2016,1,12.0
C069,2016,2,10.5
C069,2016,3,10.5
C069,2016,4,12.7
C069,2016,5,15.9
C069,2016,6,18.0
C069,2016,7,20.5
C069,2016,8,21.5
C069,2016,9,19.9
C069,2016,10,16.0
C069,2016,11,12.0
C069,2016,12,12.3
C0B6,2016,1,9.3
C0B6,2016,2,8.3
C0B6,2016,3,8.4
C0B6,2016,4,11.1
C0B6,2016,5,14.9
C0B6,2016,6,17.4
C0B6,2016,7,19.2
C0B6,2016,8,20.1
C0B6,2016,9,18.4
C0B6,2016,10,13.6
C0B6,2016,11,9.4
C0B6,2016,12,8.4
C0BE,2016,1,11.4
C0BE,2016,2,10.2
C0BE,2016,3,10.2
C0BE,2016,4,12.5
C0BE,2016,5,15.9
C0BE,2016,6,18.3
C0BE,2016,7,20.5
C0BE,2016,8,20.7
C0BE,2016,9,19.5
C0BE,2016,10,15.1
C0BE,2016,11,11.5
C0BE,2016,12,10.7
C065,2016,1,8.7
C065,2016,2,6.8
C065,2016,3,6.3
C065,2016,4,8.6
C065,2016,5,12.7
C065,2016,6,15.4
C065,2016,7,17.4
C065,2016,8,19.3
C065,2016,9,18.7
C065,2016,10,15.6
C065,2016,11,10.6
C065,2016,12,11.3
C003,2016,1,10.7
C003,2016,2,9.4
C003,2016,3,9.5
C003,2016,4,12.1
C003,2016,5,15.5
C003,2016,6,17.8
C003,2016,7,20.0
C003,2016,8,20.7
C003,2016,9,19.1
C003,2016,10,15.0
C003,2016,11,11.0
C003,2016,12,10.2
C039,2016,1,12.5
C039,2016,2,10.9
C039,2016,3,10.9
C039,2016,4,13.4
C039,2016,5,16.7
C039,2016,6,18.8
C039,2016,7,21.1
C039,2016,8,21.9
C039,2016,9,20.4
C039,2016,10,16.7
C039,2016,11,12.5
C039,2016,12,12.0
C075,2016,1,10.2
C075,2016,2,9.0
C075,2016,3,9.1
C075,2016,4,12.2
C075,2016,5,16.1
C075,2016,6,18.8
C075,2016,7,20.4
C075,2016,8,21.3
C075,2016,9,19.7
C075,2016,10,15.2
C075,2016,11,10.8
C075,2016,12,9.9
C074,2016,1,10.0
C074,2016,2,8.9
C074,2016,3,9.3
C074,2016,4,12.2
C074,2016,5,15.9
C074,2016,6,18.4
C074,2016,7,20.3
C074,2016,8,21.1
C074,2016,9,19.4
C074,2016,10,14.3
C074,2016,11,10.3
C074,2016,12,8.9
C038,2016,1,12.2
C038,2016,2,10.6
C038,2016,3,10.8
C038,2016,4,13.3
C038,2016,5,16.5
C038,2016,6,18.7
C038,2016,7,20.8
C038,2016,8,21.5
C038,2016,9,20.0
C038,2016,10,16.3
C038,2016,11,12.1
C038,2016,12,11.6
C033,2016,1,10.5
C033,2016,2,9.2
C033,2016,3,9.2
C033,2016,4,12.0
C033,2016,5,15.6
C033,2016,6,18.3
C033,2016,7,20.3
C033,2016,8,21.4
C033,2016,9,19.7
C033,2016,10,15.4
C033,2016,11,11.0
C033,2016,12,10.0
C0BD,2016,1,9.3
C0BD,2016,2,8.3
C0BD,2016,3,8.5
C0BD,2016,4,10.9
C0BD,2016,5,14.6
C0BD,2016,6,17.1
C0BD,2016,7,19.0
C0BD,2016,8,19.6
C0BD,2016,9,18.0
C0BD,2016,10,13.4
C0BD,2016,11,9.6
C0BD,2016,12,8.6
C036,2016,1,10.8
C036,2016,2,9.5
C036,2016,3,9.5
C036,2016,4,12.4
C036,2016,5,16.1
C036,2016,6,18.6
C036,2016,7,20.6
C036,2016,8,21.7
C036,2016,9,20.2
C036,2016,10,15.7
C036,2016,11,11.3
C036,2016,12,10.5
C045,2016,1,8.1
C045,2016,2,6.7
C045,2016,3,6.4
C045,2016,4,8.7
C045,2016,5,12.8
C045,2016,6,15.7
C045,2016,7,17.6
C045,2016,8,19.4
C045,2016,9,17.7
C045,2016,10,14.3
C045,2016,11,9.2
C045,2016,12,9.1
C0B7,2016,1,10.5
C0B7,2016,2,9.3
C0B7,2016,3,9.5
C0B7,2016,4,12.1
C0B7,2016,5,15.8
C0B7,2016,6,18.5
C0B7,2016,7,20.3
C0B7,2016,8,21.3
C0B7,2016,9,19.8
C0B7,2016,10,14.9
C0B7,2016,11,10.4
C0B7,2016,12,8.0
C019,2016,1,10.0
C019,2016,2,8.4
C019,2016,3,8.3
C019,2016,4,10.6
C019,2016,5,13.7
C019,2016,6,15.9
C019,2016,7,18.3
C019,2016,8,19.4
C019,2016,9,17.9
C019,2016,10,15.2
C019,2016,11,10.4
C019,2016,12,10.8
C057,2016,1,12.1
C057,2016,2,10.8
C057,2016,3,10.9
C057,2016,4,13.4
C057,2016,5,16.7
C057,2016,6,19.0
C057,2016,7,21.1
C057,2016,8,21.8
C057,2016,9,20.3
C057,2016,10,16.0
C057,2016,11,12.0
C057,2016,12,11.3
C063,2016,1,10.1
C063,2016,2,8.9
C063,2016,3,8.9
C063,2016,4,11.4
