code,year,month,helada_dias
C0B6,2016,1,1
C0B6,2016,2,3
C0B6,2016,3,1
C0B6,2016,4,1
C0B6,2016,5,0
C0B6,2016,6,0
C0B6,2016,7,0
C0B6,2016,8,0
C0B6,2016,9,0
C0B6,2016,10,0
C0B6,2016,11,0
C0B6,2016,12,3
C0BE,2016,1,0
C0BE,2016,2,0
C0BE,2016,3,0
C0BE,2016,4,0
C0BE,2016,5,0
C0BE,2016,6,0
C0BE,2016,7,0
C0BE,2016,8,0
C0BE,2016,9,0
C0BE,2016,10,0
C0BE,2016,11,0
C0BE,2016,12,0
C065,2016,1,0
C065,2016,2,1
C065,2016,3,0
C065,2016,4,0
C065,2016,5,0
C065,2016,6,0
C065,2016,7,0
C065,2016,8,0
C065,2016,9,0
C065,2016,10,0
C065,2016,11,0
C065,2016,12,0
C003,2016,1,0
C003,2016,2,2
C003,2016,3,0
C003,2016,4,0
C003,2016,5,0
C003,2016,6,0
C003,2016,7,0
C003,2016,8,0
C003,2016,9,0
C003,2016,10,0
C003,2016,11,0
C003,2016,12,2
C039,2016,1,0
C039,2016,2,0
C039,2016,3,0
C039,2016,4,0
C039,2016,5,0
C039,2016,6,0
C039,2016,7,0
C039,2016,8,0
C039,2016,9,0
C039,2016,10,0
C039,2016,11,0
C039,2016,12,0
C075,2016,1,0
C075,2016,2,1
C075,2016,3,0
C075,2016,4,0
C075,2016,5,0
C075,2016,6,0
C075,2016,7,0
C075,2016,8,0
C075,2016,9,0
C075,2016,10,0
C075,2016,11,0
C075,2016,12,0
C074,2016,1,0
C074,2016,2,2
C074,2016,3,0
C074,2016,4,0
C074,2016,5,0
C074,2016,6,0
C074,2016,7,0
C074,2016,8,0
C074,2016,9,0
C074,2016,10,0
C074,2016,11,0
C074,2016,12,2
C038,2016,1,0
C038,2016,2,0
C038,2016,3,0
C038,2016,4,0
C038,2016,5,0
C038,2016,6,0
C038,2016,7,0
C038,2016,8,0
C038,2016,9,0
C038,2016,10,0
C038,2016,11,0
C038,2016,12,0
C033,2016,1,0
C033,2016,2,2
C033,2016,3,0
C033,2016,4,0
C033,2016,5,0
C033,2016,6,0
C033,2016,7,0
C033,2016,8,0
C033,2016,9,0
C033,2016,10,0
C033,2016,11,0
C033,2016,12,2
C0BD,2016,1,0
C0BD,2016,2,1
C0BD,2016,3,1
C0BD,2016,4,0
C0BD,2016,5,0
C0BD,2016,6,0
C0BD,2016,7,0
C0BD,2016,8,0
C0BD,2016,9,0
C0BD,2016,10,0
C0BD,2016,11,0
C0BD,2016,12,2
C036,2016,1,0
C036,2016,2,1
C036,2016,3,0
C036,2016,4,0
C036,2016,5,0
C036,2016,6,0
C036,2016,7,0
C036,2016,8,0
C036,2016,9,0
C036,2016,10,0
C036,2016,11,0
C036,2016,12,0
C045,2016,1,0
C045,2016,2,1
C045,2016,3,0
C045,2016,4,0
C045,2016,5,0
C045,2016,6,0
C045,2016,7,0
C045,2016,8,0
C045,2016,9,0
C045,2016,10,0
C045,2016,11,0
C045,2016,12,0
C0B7,2016,1,0
C0B7,2016,2,1
C0B7,2016,3,0
C0B7,2016,4,0
C0B7,2016,5,0
C0B7,2016,6,0
C0B7,2016,7,0
C0B7,2016,8,0
C0B7,2016,9,0
C0B7,2016,10,0
C0B7,2016,11,0
C0B7,2016,12,3
C019,2016,1,0
C019,2016,2,0
C019,2016,3,0
C019,2016,4,0
C019,2016,5,0
C019,2016,6,0
C019,2016,7,0
C019,2016,8,0
C019,2016,9,0
C019,2016,10,0
C019,2016,11,0
C019,2016,12,0
C057,2016,1,0
C057,2016,2,1
C057,2016,3,0
