code,year,month,viento_velocidad_media
C028,2016,3,11.7
C028,2016,4,11.1
C028,2016,5,10.1
C028,2016,6,6.8
C028,2016,7,6.1
C028,2016,8,7.2
C028,2016,9,7.4
C028,2016,10,7.6
C028,2016,11,10.0
C028,2016,12,9.8
C029,2016,1,14.3
C029,2016,2,11.7
C029,2016,3,10.4
C029,2016,4,9.9
C029,2016,5,8.3
C029,2016,6,6.2
C029,2016,7,5.0
C029,2016,8,5.6
C029,2016,9,6.5
C029,2016,10,6.6
C029,2016,11,10.2
C029,2016,12,10.3
C056,2017,1,6.7
C056,2017,2,11.3
C056,2017,3,9.8
C056,2017,4,7.5
C056,2017,5,6.7
C056,2017,6,6.1
C056,2017,7,7.1
C056,2017,8,6.7
C056,2017,9,5.7
C056,2017,10,5.6
C056,2017,11,6.8
C056,2017,12,9.1
C035,2017,1,6.7
C035,2017,2,8.5
C035,2017,3,7.2
C035,2017,4,6.7
C035,2017,5,6.6
C035,2017,6,6.2
C035,2017,7,6.9
C035,2017,8,6.3
C035,2017,9,5.4
C035,2017,10,5.1
C035,2017,11,5.5
C035,2017,12,6.4
C016,2017,1,5.6
C016,2017,2,9.6
C016,2017,3,10.4
C016,2017,4,9.0
C016,2017,5,7.8
C016,2017,6,8.5
C016,2017,7,10.3
C016,2017,8,9.2
C016,2017,9,7.0
C016,2017,10,6.2
C016,2017,11,7.2
C016,2017,12,8.9
C025,2017,2,23.3
C025,2017,3,19.1
C025,2017,4,15.9
C025,2017,6,14.7
C025,2017,8,15.9
C025,2017,9,14.7
C025,2017,10,15.6
C025,2017,11,17.7
C025,2017,12,17.5
C034,2017,1,6.2
C034,2017,2,8.8
C034,2017,5,6.3
C034,2017,6,6.2
C034,2017,7,7.1
C034,2017,8,6.6
C034,2017,9,5.4
C034,2017,10,5.5
C034,2017,11,5.6
C034,2017,12,6.8
C0AA,2017,1,8.9
C0AA,2017,2,13.3
C0AA,2017,3,11.0
C0AA,2017,4,8.8
C0AA,2017,5,8.7
C0AA,2017,6,8.2
C0AA,2017,7,10.4
C0AA,2017,8,8.8
C0AA,2017,9,7.1
C0AA,2017,10,7.1
C0AA,2017,11,8.8
C0AA,2017,12,9.3
C067,2017,1,6.6
C067,2017,2,8.7
C067,2017,3,7.2
C067,2017,4,7.3
C067,2017,5,7.1
C067,2017,6,6.0
C067,2017,7,6.0
C067,2017,8,6.1
C067,2017,9,5.3
C067,2017,11,6.8
C040,2017,1,7.4
C040,2017,2,11.3
C040,2017,3,10.0
C040,2017,4,8.6
C040,2017,5,8.5
C040,2017,6,9.0
C040,2017,7,10.6
C040,2017,8,9.2
C040,2017,9,6.9
C040,2017,10,5.7
C040,2017,11,7.1
C040,2017,12,9.5
C048,2017,1,21.1
C048,2017,2,21.1
C048,2017,3,19.8
C048,2017,4,16.1
C048,2017,5,14.2
C048,2017,6,14.3
C048,2017,7,14.6
C048,2017,8,14.6
C048,2017,9,14.2
C048,2017,10,15.1
C048,2017,11,17.8
C048,2017,12,22.9
C068,2017,1,11.0
C068,2017,2,16.3
C068,2017,3,14.3
C068,2017,4,13.0
C068,2017,5,14.4
C068,2017,6,14.5
C068,2017,7,16.3
C068,2017,8,14.5
C068,2017,9,11.8
C068,2017,10,11.8
C068,2017,11,12.9
C068,2017,12,12.5
C024,2017,1,13.3
C024,2017,2,18.3
C024,2017,3,14.4
C024,2017,4,12.2
C024,2017,5,13.0
C024,2017,6,11.0
C024,2017,7,12.7
C024,2017,8,11.7
C024,2017,9,10.0
C024,2017,10,11.3
C024,2017,11,12.1
C024,2017,12,14.6
C00A,2017,1,12.8
C00A,2017,2,15.1
C00A,2017,3,11.5
C00A,2017,4,11.2
C00A,2017,5,9.9
C00A,2017,6,10.3
C00A,2017,7,11.8
C00A,2017,8,11.4
C00A,2017,9,9.4
C00A,2017,10,10.2
C00A,2017,11,11.0
C00A,2017,12,11.6
C047,2017,1,23.1
C047,2017,2,24.8
C047,2017,3,22.3
C047,2017,4,18.6
C047,2017,5,18.6
C047,2017,6,16.3
C047,2017,7,18.0
C047,2017,8,17.3
C047,2017,9,16.0
C047,2017,10,18.7
C047,2017,11,20.4
C047,2017,12,26.0
C031,2017,1,13.9
C031,2017,2,16.2
C031,2017,3,14.6
C031,2017,4,14.6
C031,2017,5,12.9
C031,2017,6,12.9
C031,2017,7,14.8
C031,2017,8,13.8
C031,2017,9,11.7
C031,2017,10,12.2
C031,2017,11,13.1
C031,2017,12,13.9
C041,2017,1,9.5
C041,2017,2,14.0
C041,2017,3,10.6
C041,2017,4,9.1
C041,2017,5,9.1
C041,2017,6,7.5
C041,2017,7,9.0
C041,2017,8,8.4
C041,2017,9,6.7
C041,2017,10,7.6
C041,2017,11,8.3
C041,2017,12,9.9
C060,2017,1,12.7
C060,2017,2,15.2
C060,2017,3,13.6
C060,2017,4,11.2
C060,2017,5,11.8
C060,2017,6,9.0
C060,2017,7,9.4
C060,2017,8,9.1
C060,2017,9,8.1
C060,2017,10,9.2
C060,2017,11,10.6
C060,2017,12,12.8
C021,2017,1,17.4
C021,2017,2,21.0
C021,2017,3,17.7
C021,2017,4,15.3
C021,2017,5,14.7
C021,2017,6,13.1
C021,2017,7,15.5
C021,2017,8,14.3
C021,2017,9,12.8
C021,2017,10,13.7
C021,2017,11,17.6
C021,2017,12,18.3
C030,2017,1,7.2
C030,2017,2,11.0
C030,2017,3,9.1
C030,2017,4,7.6
C030,2017,5,7.2
C030,2017,6,6.9
C030,2017,7,9.0
C030,2017,8,7.9
C030,2017,9,6.5
C030,2017,10,6.2
C030,2017,11,7.4
C030,2017,12,7.9
C051,2017,1,5.9
C051,2017,2,8.5
C051,2017,3,7.0
C051,2017,4,6.2
C051,2017,5,6.3
C051,2017,6,5.7
C051,2017,7,5.9
C051,2017,8,5.5
C051,2017,9,5.1
C051,2017,10,5.3
C051,2017,11,5.2
C051,2017,12,6.0
C00B,2017,5,6.2
C00B,2017,6,5.5
C00B,2017,7,6.0
C00B,2017,8,5.9
C00B,2017,9,4.9
C00B,2017,10,4.2
C00B,2017,11,5.9
C00B,2017,12,7.4
C020,2017,1,9.7
C020,2017,2,14.3
C020,2017,3,11.2
C020,2017,4,8.7
C020,2017,5,9.3
C020,2017,6,8.0
C020,2017,7,10.1
C020,2017,8,8.6
C020,2017,9,6.5
C020,2017,10,7.9
C020,2017,11,8.3
C020,2017,12,9.2
C050,2017,1,9.5
C050,2017,2,12.8
C050,2017,3,10.7
C050,2017,4,9.3
C050,2017,5,8.5
C050,2017,6,9.8
C050,2017,7,10.8
C050,2017,8,9.8
C050,2017,9,8.2
C050,2017,10,7.8
C050,2017,11,7.5
C050,2017,12,10.3
C061,2017,1,14.6
C061,2017,2,16.6
C061,2017,3,13.7
C061,2017,4,9.7
C061,2017,5,10.3
C061,2017,6,8.4
C061,2017,7,6.9
C061,2017,8,7.7
C061,2017,9,8.5
C061,2017,10,10.2
C061,2017,11,13.9
C061,2017,12,18.0
C032,2017,1,4.8
C032,2017,2,5.7
C032,2017,3,5.2
C032,2017,4,5.3
C032,2017,5,5.0
C032,2017,6,4.5
C032,2017,7,4.4
C032,2017,8,4.4
C032,2017,9,3.8
C032,2017,10,4.0
C002,2017,1,4.8
C002,2017,2,6.0
C002,2017,3,5.4
C002,2017,4,5.4
C002,2017,5,5.2
C002,2017,6,5.1
C002,2017,7,4.5
C002,2017,8,4.2
C002,2017,9,4.0
C002,2017,10,3.5
C002,2017,11,4.0
C002,2017,12,5.2
C069,2017,1,11.8
C069,2017,2,11.0
C069,2017,3,10.7
C069,2017,4,10.3
C069,2017,5,8.9
C069,2017,6,8.8
C069,2017,7,8.4
C069,2017,8,8.7
C069,2017,9,9.3
C069,2017,10,9.5
C069,2017,11,13.2
C069,2017,12,14.7
C065,2017,1,17.0
C065,2017,2,21.1
C065,2017,3,16.5
C065,2017,4,12.9
C065,2017,5,13.3
C065,2017,6,11.2
C065,2017,7,10.2
C065,2017,8,10.3
C065,2017,9,11.9
C065,2017,10,11.0
C065,2017,11,16.6
C065,2017,12,19.9
C003,2017,1,7.1
C003,2017,2,8.0
C003,2017,3,7.1
C003,2017,4,6.2
C003,2017,5,6.0
C003,2017,6,6.0
C003,2017,7,5.6
C003,2017,8,5.1
C003,2017,9,4.9
C003,2017,10,4.8
C003,2017,11,5.1
C003,2017,12,6.0
C039,2017,1,12.3
C039,2017,2,13.3
C039,2017,3,11.6
C039,2017,4,10.6
C039,2017,5,11.0
C039,2017,6,10.3
C039,2017,7,9.6
C039,2017,8,9.6
C039,2017,9,9.6
C039,2017,10,10.6
C039,2017,11,11.5
C039,2017,12,13.3
C075,2017,1,5.1
C075,2017,2,7.0
C075,2017,3,6.3
C075,2017,4,5.8
C075,2017,5,6.0
C075,2017,6,5.4
C075,2017,7,5.2
C075,2017,8,4.9
C075,2017,9,4.7
C075,2017,10,4.0
C075,2017,11,5.3
C075,2017,12,6.1
C038,2017,1,7.8
C038,2017,2,9.3
C038,2017,3,7.8
C038,2017,4,7.7
C038,2017,5,7.6
C038,2017,6,7.1
C038,2017,7,6.1
C038,2017,8,6.5
C038,2017,9,6.0
C038,2017,10,5.8
C038,2017,11,6.8
C038,2017,12,8.0
C033,2017,5,7.5
C033,2017,6,6.3
C033,2017,7,6.1
C033,2017,8,5.7
C033,2017,9,5.4
C033,2017,10,6.1
C033,2017,11,6.3
C033,2017,12,7.7
C036,2017,1,9.1
C036,2017,2,11.5
C036,2017,3,10.1
C036,2017,4,9.0
C036,2017,5,8.7
C036,2017,6,8.9
C036,2017,7,8.7
C036,2017,8,7.8
C036,2017,9,7.5
C036,2017,10,7.1
C036,2017,11,7.4
C036,2017,12,8.0
C045,2017,1,20.4
C045,2017,2,26.6
C045,2017,3,22.0
C045,2017,4,18.2
C045,2017,5,18.0
C045,2017,6,16.6
C045,2017,7,14.5
C045,2017,8,16.2
C045,2017,9,16.7
C019,2017,1,30.1
C019,2017,2,31.4
C019,2017,3,26.9
C019,2017,4,23.6
C019,2017,5,26.0
C019,2017,6,24.3
C019,2017,7,19.1
C019,2017,8,18.7
C019,2017,9,21.4
C019,2017,10,21.7
C019,2017,11,28.1
C057,2017,1,8.6
C057,2017,2,9.5
C057,2017,3,8.3
C057,2017,4,7.2
C057,2017,5,6.8
C057,2017,6,7.3
C057,2017,7,6.6
C057,2017,8,6.0
C057,2017,9,5.5
C057,2017,10,5.0
C057,2017,11,6.5
C057,2017,12,8.0
C046,2017,1,31.3
C046,2017,2,32.9
C046,2017,3,28.9
C046,2017,4,25.1
C046,2017,5,23.7
C046,2017,6,21.8
C046,2017,7,22.1
C046,2017,8,20.7
C046,2017,9,20.9
C046,2017,10,22.8
C046,2017,11,31.2
C046,2017,12,30.4
C059,2017,1,7.7
C059,2017,2,11.5
C059,2017,3,10.0
C059,2017,4,7.3
C059,2017,5,7.8
C059,2017,6,6.5
C059,2017,7,5.8
C059,2017,8,5.8
C059,2017,9,5.7
C059,2017,10,5.2
C059,2017,11,6.6
C059,2017,12,9.5
C072,2017,1,23.5
C072,2017,2,32.8
C072,2017,3,27.0
C072,2017,4,18.2
C072,2017,5,20.3
C072,2017,6,17.4
C072,2017,7,16.7
C072,2017,8,17.3
C072,2017,9,14.5
C072,2017,10,20.7
C072,2017,11,22.1
C072,2017,12,30.5
C0B4,2017,1,5.2
C0B4,2017,2,6.6
C0B4,2017,3,6.0
C0B4,2017,5,5.2
C0B4,2017,6,4.2
C0B4,2017,7,4.9
C0B4,2017,8,4.9
C0B4,2017,9,4.0
C0B4,2017,10,4.3
C0B4,2017,11,4.1
C0B4,2017,12,4.5
C054,2017,1,7.0
C054,2017,2,6.7
C054,2017,3,6.7
C054,2017,4,6.2
C054,2017,5,5.3
C054,2017,6,6.1
C054,2017,7,6.8
C054,2017,8,6.0
C054,2017,9,4.8
C054,2017,10,4.2
C054,2017,11,5.4
C054,2017,12,5.9
C042,2017,1,24.1
C042,2017,2,21.1
C042,2017,3,18.2
C042,2017,4,16.3
C042,2017,5,15.2
C042,2017,6,15.1
C042,2017,7,13.7
C042,2017,8,14.5
C042,2017,9,15.4
C042,2017,10,15.8
C042,2017,11,22.0
C042,2017,12,23.4
C0C3,2017,1,5.1
C0C3,2017,2,7.3
C0C3,2017,3,6.3
C0C3,2017,4,7.2
C0C3,2017,5,7.6
C0C3,2017,6,7.1
C0C3,2017,7,7.2
C0C3,2017,8,6.7
C0C3,2017,9,5.1
C0C3,2017,10,5.3
C0C3,2017,11,4.6
