code,year,month,viento_media_velocidades_maximas
C071,2016,11,55.0
C071,2016,12,44.1
C0EC,2016,1,43.2
C0EC,2016,2,37.1
C0EC,2016,3,35.9
C0EC,2016,4,35.9
C0EC,2016,5,32.1
C0EC,2016,6,25.3
C0EC,2016,7,21.9
C0EC,2016,8,25.0
C0EC,2016,9,27.7
C0EC,2016,10,23.7
C0EC,2016,11,32.3
C0EC,2016,12,31.4
C017,2016,1,48.9
C017,2016,2,49.4
C017,2016,3,45.0
C017,2016,4,43.8
C017,2016,5,40.2
C017,2016,6,31.7
C017,2016,7,26.4
C017,2016,8,29.7
C017,2016,9,31.8
C017,2016,10,28.3
C017,2016,11,37.8
C017,2016,12,31.9
C043,2016,1,41.8
C043,2016,2,41.3
C043,2016,3,36.8
C043,2016,4,42.1
C043,2016,5,36.7
C043,2016,6,28.5
C043,2016,7,27.0
C043,2016,8,30.5
C043,2016,9,30.0
C043,2016,10,24.5
C043,2016,11,30.1
C007,2016,1,57.7
C007,2016,2,59.7
C007,2016,3,55.9
C007,2016,4,48.2
C007,2016,5,48.2
C007,2016,6,38.5
C007,2016,7,31.0
C007,2016,8,35.8
C007,2016,9,39.9
C007,2016,10,34.0
C007,2016,11,46.1
C064,2016,1,61.9
C064,2016,2,57.4
C064,2016,3,57.1
C064,2016,4,48.3
C064,2016,5,42.0
C064,2016,6,33.4
C064,2016,7,31.1
C064,2016,8,32.2
C064,2016,9,37.3
C064,2016,10,33.7
C064,2016,11,46.0
C064,2016,12,35.9
C028,2016,1,59.6
C028,2016,2,56.5
C028,2016,3,47.7
C028,2016,4,48.7
C028,2016,5,44.5
C028,2016,6,32.3
C028,2016,7,27.7
C028,2016,8,33.4
C028,2016,9,35.0
C028,2016,10,33.6
C028,2016,11,45.2
C028,2016,12,38.0
C029,2016,1,52.0
C029,2016,2,46.2
C029,2016,3,43.7
C029,2016,4,43.9
C029,2016,5,38.2
C029,2016,6,29.9
C029,2016,7,25.7
C029,2016,8,28.4
C029,2016,9,32.8
C029,2016,10,30.0
C029,2016,11,40.5
C029,2016,12,39.7
C056,2017,1,30.6
C056,2017,2,46.6
C056,2017,3,38.9
C056,2017,4,32.3
C056,2017,5,35.1
C056,2017,6,32.0
C056,2017,7,35.2
C056,2017,8,33.2
C056,2017,9,29.2
C056,2017,10,27.5
C056,2017,11,29.4
C056,2017,12,34.5
C035,2017,1,29.4
C035,2017,2,41.5
C035,2017,3,33.7
C035,2017,4,31.9
C035,2017,5,32.2
C035,2017,6,30.2
C035,2017,7,31.0
C035,2017,8,31.1
C035,2017,9,25.8
C035,2017,10,24.7
C035,2017,11,28.0
C035,2017,12,33.4
C016,2017,1,28.4
C016,2017,2,41.9
C016,2017,3,41.2
C016,2017,4,36.7
C016,2017,5,36.5
C016,2017,6,36.6
