code,year,month,irradiacion_media_diaria
C020,2018,4,15.6
C020,2018,5,16.9
C020,2018,6,20.2
C020,2018,7,22.2
C020,2018,8,20.9
C020,2018,9,16.3
C020,2018,10,9.8
C020,2018,11,6.1
C020,2018,12,4.9
C050,2018,1,5.0
C050,2018,2,6.7
C050,2018,3,11.6
C050,2018,4,15.8
C050,2018,5,17.5
C050,2018,6,20.0
C050,2018,7,21.6
C050,2018,8,20.2
C050,2018,9,16.4
C050,2018,10,9.0
C050,2018,11,6.0
C050,2018,12,4.7
C061,2018,1,4.2
C061,2018,2,5.5
C061,2018,3,10.7
C061,2018,4,12.8
C061,2018,5,15.2
C061,2018,6,15.7
C061,2018,7,15.5
C061,2018,8,18.1
C061,2018,9,13.9
C061,2018,10,8.7
C002,2018,1,4.5
C002,2018,2,6.1
C002,2018,3,11.2
C002,2018,4,14.0
C002,2018,5,16.3
C002,2018,6,17.5
C002,2018,7,18.2
C002,2018,8,18.0
C002,2018,9,15.8
C002,2018,10,9.6
C002,2018,11,5.9
C002,2018,12,4.4
C069,2018,1,4.5
C069,2018,2,6.1
C069,2018,3,11.5
C069,2018,4,14.7
C069,2018,5,17.3
C069,2018,6,18.5
C069,2018,7,19.3
C069,2018,8,18.9
C069,2018,9,15.9
C069,2018,10,9.6
C069,2018,11,6.1
C069,2018,12,4.2
C065,2018,1,4.2
C065,2018,2,5.7
C065,2018,3,10.3
C065,2018,4,13.5
C065,2018,5,15.7
C065,2018,6,17.9
C065,2018,7,15.7
C065,2018,8,19.1
C065,2018,9,15.0
C065,2018,10,9.6
C065,2018,11,6.4
C065,2018,12,4.7
C003,2018,6,16.8
C003,2018,7,16.5
C003,2018,8,18.3
C003,2018,9,14.5
C003,2018,10,9.2
C003,2018,11,6.0
C003,2018,12,4.3
C039,2018,1,4.5
C039,2018,2,5.9
C039,2018,3,11.4
C039,2018,4,14.5
C039,2018,5,16.4
C039,2018,6,18.7
C039,2018,7,17.8
C039,2018,8,18.6
C039,2018,9,15.0
C039,2018,10,9.8
C039,2018,11,6.4
C039,2018,12,4.7
C033,2018,1,4.1
C033,2018,2,5.5
C033,2018,3,10.6
C033,2018,4,13.4
C033,2018,5,14.4
C036,2018,1,4.2
C036,2018,2,6.2
C036,2018,3,10.4
C036,2018,4,14.1
C036,2018,5,15.0
C036,2018,6,17.1
C036,2018,7,18.1
C036,2018,8,18.3
C036,2018,9,15.7
C036,2018,10,9.2
C036,2018,11,6.2
C036,2018,12,4.6
C019,2018,1,4.0
C019,2018,2,5.3
C019,2018,3,10.6
C019,2018,4,14.1
C019,2018,5,15.8
C019,2018,6,16.7
C019,2018,7,16.3
C019,2018,8,18.3
