COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;PRECIPITACIÓN MÁXIMA EN 10 MINUTOS (l/m2);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C0DC;Ibai Eder;90;2.5;1.8;1.4;1.4;3.8;5.9;3.2;7.5;2.2;6.5;2.8;3;7.5
C0EC;Lasarte;18;3.4;2.8;3.9;3.8;3.9;2.6;2.4;11;3.2;4.7;9.3;4.3;11.0
C0DE;Matxinbenta;250;2.2;2.5;2.5;1.6;4.5;5.2;6.8;9.6;1.7;1.1;2;2.2;9.6
C017;Miramon;113;2.4;1.8;2.2;1.6;3.3;5.6;2.9;9.4;5.8;4.4;9.3;3.5;9.4
C0F4;Oiartzun;53;3.2;2;2.7;1.8;3.4;2.9;3.3;12.9;8.1;1.6;8;2.8;12.9
C0D1;Oñati;195;2.1;2.3;1.5;1.8;2.4;4.9;2.9;2.7;0.9;3.2;1.8;1.9;4.9
C043;Ordizia;243;1.3;2;0.8;1.2;3;6.6;6.5;5.7;2;2.6;2;1.3;6.6
C0D2;San Prudentzio;175;1.5;2;1.9;2.6;5;2.8;3.3;2.3;1.6;4;1.4;1.8;5.0
C0D0;Urkulu;340;1.3;3.3;2.9;2.1;4.6;5.5;9.9;2;2;1.2;1.9;1.5;9.9
C064;Zarautz;80;1.6;1.3;3.1;2.7;4.5;2.6;1.7;8.3;4.1;2.1;3.5;6;8.3
C028;Zegama;520;1.2;5.6;2.3;3.4;4.9;13;3.7;5.1;0.9;0.5;2.3;2.4;13.0
C029;Zizurkil;149;2.9;2.1;2.1;1.9;3.4;6.1;3.9;9;2.9;2;3.8;3;9.0
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;PRECIPITACIÓN MÁXIMA EN 10 MINUTOS (l/m2);;;;;;;;;;;
