COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;TEMPERATURA MÍNIMA MEDIA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C055;Ozaeta;548;0.8;-0.2;2.4;5.4;6.6;10.6;13.1;11.6;10.3;6.4;3.6;0.4;5.9
C060;Páganos;577;2.8;0.8;3.6;7.2;8.2;12.6;15.5;14.6;13.3;7.9;5.2;2.7;7.9
C0A1;Pagoeta;705;1.0;-0.5;2.4;4.8;5.3;9.4;12.6;10.8;9.7;5.2;3.4;1.4;5.5
C021;Roitegi;980;0.5;-2.1;1.1;4.7;5.3;9.8;11.9;11.4;10.3;5.7;3.7;1.6;5.3
C030;Salvatierra;589;1.1;-0.4;2.6;5.9;5.8;10.3;13.2;12.0;11.0;6.8;4.8;1.3;6.2
C051;Saratxo;230;4.0;2.2;6.0;8.9;9.1;13.5;16.5;15.0;13.7;9.7;8.0;4.5;9.3
C0A0;Sarria;655;0.8;-1.0;1.5;5.1;5.8;9.8;12.4;11.6;9.8;5.6;3.4;0.8;5.5
C049;Subijana;537;0.5;0.1;2.8;5.3;6.9;11.2;14.6;13.0;11.6;6.6;4.6;0.9;6.5
C00B;Tobillas;700;1.3;-0.8;2.4;4.8;5.4;10.1;12.9;11.5;10.0;6.2;4.3;2.0;5.8
C020;Trebiño;578;1.4;-0.2;2.5;5.6;6.2;10.4;13.4;12.0;10.9;6.3;4.5;1.3;6.2
C070;Zaldiaran;980;1.5;-1.6;1.3;5.3;6.8;11.5;13.9;13.5;12.9;7.3;4.7;4.0;6.8
C050;Zambrana;470;3.1;1.6;4.4;6.6;7.5;12.5;15.6;14.2;13.0;8.0;5.8;3.5;8.0
C0B1;Abusu (La Peña);23;5.8;3.1;6.7;9.5;10.1;14.1;17.1;15.9;14.6;10.2;8.3;6.3;10.1
C079;Amorebieta;65;5.2;2.3;6.0;9.0;9.6;13.7;17.0;15.6;14.1;9.7;7.1;4.6;9.5
C0C1;Aranguren;92;4.9;3.4;6.3;9.0;9.9;14.4;17.4;16.0;14.6;10.5;8.6;5.7;10.1
C061;Arboleda;329;6.2;3.0;6.2;9.4;9.5;13.5;16.3;15.8;14.4;10.9;9.4;8.5;10.3
C032;Areta;122;3.9;2.1;5.5;8.4;9.2;13.4;16.5;15.0;13.6;9.2;7.0;4.2;9.0
C002;Arteaga;19;6.2;3.1;6.4;9.4;10.3;14.1;17.5;16.3;14.6;10.0;7.6;6.2;10.1
C0C2;Balmaseda;178;3.6;1.7;4.6;7.3;8.2;12.6;15.4;13.7;12.4;8.2;5.9;3.5;8.1
C069;Bermeo;106;8.7;5.3;8.2;11.3;12.0;15.9;18.8;18.1;16.9;12.7;10.2;10.3;12.4
C0B6;Berna;95;4.3;1.6;4.9;8.8;9.0;13.1;16.2;14.8;13.4;9.2;6.7;4.1;8.8
C0BE;Berriatua;25;6.3;3.3;6.2;9.7;10.6;14.2;17.9;16.9;15.4;10.9;8.3;7.3;10.6
C065;Cerroja;677;4.5;0.0;3.4;7.5;8.4;12.3;14.8;14.8;13.9;9.0;6.8;7.3;8.6
C003;Derio;30;6.2;2.8;6.5;10.2;10.1;14.1;17.3;16.1;14.4;9.9;8.3;6.0;10.1
C039;Deusto;3;7.0;4.2;7.8;11.0;11.7;15.9;18.9;18.2;16.9;12.1;9.6;8.2;11.8
C075;Eitzaga;270;5.2;2.4;5.4;9.0;9.3;13.0;16.3;15.0;13.9;9.8;7.4;6.0;9.4
C074;Elorrio;167;5.1;2.6;6.1;9.9;10.2;14.4;17.6;16.1;14.8;10.3;8.1;5.6;10.1
