COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;TEMPERATURA MÁXIMA ABSOLUTA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C047;Kapildui;1173;11.5;12.4;14.3;21.4;21.6;27.7;27.3;30.8;27.6;20.7;11.7;14.2;30.8
C031;Moreda;490;17.0;18.4;21.1;24.8;26.8;34.2;35.1;37.4;34.8;27.7;17.6;17.3;37.4
C041;Navarrete;689;15.2;16.0;18.7;23.0;25.0;31.2;31.5;34.7;31.7;25.5;16.5;17.3;34.7
C055;Ozaeta;548;15.1;16.0;16.3;25.1;24.3;30.4;29.6;33.9;30.4;26.2;17.2;16.8;33.9
C060;Páganos;577;14.9;16.1;18.8;23.5;25.6;32.5;32.4;35.3;32.4;25.1;16.6;14.7;35.3
C0A1;Pagoeta;705;14.3;13.9;17.1;23.4;22.6;29.4;31.2;33.3;30.0;23.2;16.2;15.6;33.3
C021;Roitegi;980;12.0;13.2;14.7;20.8;21.6;27.8;29.2;32.9;28.9;22.5;14.1;14.9;32.9
C030;Salvatierra;589;15.1;17.2;18.0;25.4;25.5;31.5;31.3;36.3;32.9;26.4;17.3;18.8;36.3
C051;Saratxo;230;19.1;19.0;19.6;28.6;26.5;31.8;32.0;37.1;33.6;29.4;21.2;21.4;37.1
C0A0;Sarria;655;14.3;15.6;17.4;25.5;24.0;30.4;29.6;33.4;31.0;25.0;17.2;16.1;33.4
C049;Subijana;537;15.6;16.0;19.5;26.7;25.3;32.4;33.0;36.5;33.2;25.8;16.9;17.0;36.5
C00B;Tobillas;700;15.6;14.8;17.1;24.9;24.4;30.6;30.6;36.3;32.4;25.6;16.8;17.1;36.3
C020;Trebiño;578;15.4;15.4;18.4;24.8;24.8;32.3;33.1;36.0;32.8;25.2;17.3;16.7;36.0
C070;Zaldiaran;980;11.4;13.4;16.8;23.5;22.2;30.0;28.8;32.6;28.8;23.3;14.6;13.6;32.6
C050;Zambrana;470;16.8;16.2;20.5;26.1;26.8;33.8;33.9;37.0;34.1;26.4;18.9;18.4;37.0
C0B1;Abusu (La Peña);23;18.7;19.4;19.5;29.4;24.0;29.4;31.2;36.8;34.2;26.9;20.7;18.7;36.8
C079;Amorebieta;65;19.4;21.1;19.8;29.2;25.5;30.8;29.6;38.4;34.4;29.2;22.1;20.0;38.4
C0C1;Aranguren;92;19.8;20.9;20.7;31.1;27.2;31.3;33.1;38.6;36.9;31.2;24.8;21.1;38.6
C061;Arboleda;329;18.9;19.1;18.5;28.7;22.9;27.6;27.8;36.0;34.6;27.8;21.0;19.7;36.0
C032;Areta;122;19.2;20.6;19.5;29.4;26.4;30.5;31.6;37.8;34.9;30.4;22.0;19.6;37.8
C002;Arteaga;19;21.0;20.2;20.6;30.7;25.3;29.5;30.2;35.4;34.8;28.8;23.4;19.5;35.4
C0C2;Balmaseda;178;18.0;19.4;19.1;28.9;26.0;29.8;30.4;36.8;33.5;28.6;21.3;19.4;36.8
C069;Bermeo;106;19.7;20.6;19.9;28.7;25.1;28.2;28.9;31.1;30.9;27.3;23.0;20.0;31.1
C0B6;Berna;95;18.2;20.8;19.6;29.8;27.7;31.7;31.5;35.9;33.3;29.5;22.1;18.7;35.9
C0BE;Berriatua;25;19.7;20.2;20.3;30.6;25.7;29.0;28.6;32.1;34.7;28.8;23.4;19.9;34.7
C065;Cerroja;677;15.5;14.8;14.6;24.8;21.6;26.0;27.0;32.3;30.5;25.5;17.6;18.0;32.3
C003;Derio;30;20.9;20.7;20.2;29.7;24.7;30.8;31.5;38.7;35.4;29.8;23.1;20.9;38.7
C039;Deusto;3;19.8;19.9;20.4;30.3;23.7;28.1;30.3;39.0;36.0;29.8;23.5;20.0;39.0
C075;Eitzaga;270;18.2;21.0;21.3;29.8;27.7;30.7;31.3;38.4;36.3;33.2;25.2;22.7;38.4
C074;Elorrio;167;17.4;20.6;20.8;30.0;27.4;31.1;31.2;35.2;32.9;27.9;20.5;20.4;35.2
