northing,easting,zone
"4785151,62","522008,6469",30
"4785648,328","520964,0043",30
"4784322,153","520779,0933",30
"4785205,688","521216,202",30
"4788567,732","520476,1252",30
"4784925,424","522256,279",30
"4785356,304","522273,7588",30
"4785208,617","521191,8138",30
"4783132,773","527010,6094",30
"4783246,976","526752,9016",30
"4784169,483","524430,886",30
"4784930,929","521842,7909",30
"4783654,053","524428,1384",30
"4782280,669","525416,4269",30
"4785594,604","522058,9422",30
"4785711,467","521870,4577",30
"4785720,76","522497,6345",30
"4785367,453","521987,3819",30
"4786683,356","520009,357",30
"4787749,251","520002,9732",30
"4788069,373","519750,7666",30
"4782304,161","524717,106",30
"4787497,366","521346,9531",30
"4782302,944","524721,2532",30
"4782271,007","524697,9451",30
"4786292,804","522815,1003",30
"4785123,756","522212,7846",30
"4785941,325","521937,2693",30
"4783604,677","524289,6827",30
"4785478,764","522401,0174",30
"4787661,827","520053,1523",30
"4786464,064","519847,2893",30
"4781084,942","525150,2408",30
"4785055,613","521422,4628",30
"4784526,4","520591,34",30
"4787449,516","521401,2856",30
"4784421,704","522119,4208",30
"4784584,42","526870,8764",30
"4787618,828","521723,2488",30
"4787639,826","521730,0561",30
"4783081,897","523858,0344",30
"4785913,494","523500,9412",30
"4786915,591","522487,4294",30
"4782624,734","525104,1844",30
"4788251,305","521368,576",30
,,30
"4783137,372","526996,4845",30
"4783848,87","521399,5229",30
"4788277,129","521358,8725",30
"4783910,959","523080,4297",30
"4783380,589","524290,4073",30
"4783932,943","521229,3276",30
"4787661,411","521778,7682",30
"4782422,162","524478,1333",30
"4782855,075","523582,5107",30
"4787557,9","520625,7942",30
"4784771,562","523904,5443",30
"4785933,242","523511,8915",30
"4785037,414","521007,3846",30
"4783148,707","523924,4938",30
"4788017,58","522844,8785",30
"4784844,748","521352,5024",30
"4787949,12","521812,7324",30
"4784644,48","521099,4263",30
"4785145,446","521411,1789",30
"4784912,173","520947,5282",30
"4785008,109","520914,1171",30
"4783300,618","524221,4776",30
"4787598,597","520311,9341",30
"4787568,856","520295,0837",30
"4782522,837","523973,8847",30
"4782619,12","523165,2796",30
"4787612,861","520424,4229",30
"4787502,848","520416,8725",30
"4785947,705","520776,386",30
"4785500,453","523761,0459",30
"4785215,347","522113,4482",30
"4784647,158","521961,7154",30
"4782341,728","524869,8356",30
"4787180,534","522231,6246",30
"4785378,133","522211,3813",30
"4785611,946","522020,6557",30
"4784813,488","521047,1814",30
"4786457,335","521421,3141",30
"4786753,383","519448,049",30
"4785299,807","522194,3992",30
"4785152,219","521417,6529",30
"4784885,912","521597,8613",30
"4787640,078","519455,3843",30
"4785428,25","521370,4062",30
"4785008,596","520910,1941",30
"4782889,43","524208,792",30
"4784532,871","521026,3144",30
"4786795,661","519961,9979",30
"4786340,803","519818,2938",30
"4783029,394","525097,9031",30
"4784960,235","522057,4084",30
"4784958,644","522134,962",30
"4782006,024","523943,1397",30
"4783046,243","525123,7407",30
"4784509,385","521985,8691",30
"4785291,731","522012,877",30
"4784480,81","521540,2382",30
"4787389,056","519125,9546",30
"4783341,978","525088,4604",30
"4784317,015","521978,58",30
"4785892,442","522510,0778",30
"4784261,234","522789,3988",30
"4786097,711","521722,8118",30
"4782581,671","523121,1724",30
"4785501,268","522605,3989",30
"4782603,455","523139,8414",30
"4785273,537","521800,7414",30
"4782263,948","524092,7491",30
"4788013,666","519734,1253",30
"4785277,327","522192,6403",30
"4786674,565","522748,5952",30
"4785993,33","518745,1994",30
"4782341,545","524895,1515",30
"4783370,272","524275,7294",30
"4789313,955","521630,0652",30
"4786135,399","521698,9569",30
"4781163,884","525082,7476",30
"4783011,965","524272,0338",30
"4784465,484","523703,295",30
"4784513,414","522278,3154",30
"4787203,056","519123,1464",30
"4786291,044","519783,2784",30
"4785884,677","520624,14",30
"4781484,798","526067,8947",30
"4785948,48","521712,7625",30
"4785755,783","521498,8191",30
"4786458,864","520019,6044",30
"4786326,103","522037,9844",30
"4785575,186","521692,8652",30
"4785775,048","521680,4164",30
"4785575,186","521692,8652",30
"4785983,732","520617,5024",30
"4785910,828","522503,4158",30
"4784941,045","523887,2251",30
"4784951,024","523874,8319",30
"4783069,635","525133,6287",30
"4782343,463","525722,479",30
"4782576,063","523153,911",30
"4784526,4","520591,34",30
"4785402,253","521619,425",30
