northing, easting, zone, longitude, latitude
4777060.421,532316.0029,30,-2.6025857954288867,43.14560128296287
4776072.417,530245.0271,30,-2.6281075263512186,43.136790248561134
4777877.849,531450.3348,30,-2.6131849127456257,43.15299841526652
4778578.758,531424.8129,30,-2.613459026163056,43.15931090832422
4779831.396,531778.6308,30,-2.6090350619670537,43.17057565209158
4779515.649,531804.9317,30,-2.608729644412215,43.16773136640455
4777626.394,531592.1878,30,-2.6114546124070106,43.15072824122647
4774792.184,530721.38,30,-2.622321361419559,43.125242963682894
4778228.92,532750.1,30,-2.597178410048171,43.156104517435494
4779702.54,531782.85,30,-2.608990557008309,43.16941517642066
4777994.594,531123.1002,30,-2.61720299855722,43.15406319817135
4776967.85,532324.97,30,-2.6024809240900275,43.14476733098362
4774515.66,531327.14,30,-2.6148901278085104,43.122728128581
4777297.64,532066.41,30,-2.6056414242770374,43.147747975554296
4778034.7,533768.27,30,-2.5846672250385994,43.154310867921836
4796139.304,493654.7297,30,-3.0782529423744216,43.31806475249996
4794903.605,493153.9094,30,-3.0844138926716678,43.30693340089835
4796019.557,494041.4094,30,-3.073482925904362,43.31698964393969
4797202.548,493941.5156,30,-3.074727896704835,43.32764117559764
4796363.755,493974.4683,30,-3.0743122376966427,43.32008846896947
4795788.881,493928.524,30,-3.074872507312378,43.314911599739915
4795780.364,493937.181,30,-3.0747656565898707,43.31483497751645
4796218.752,493883.6934,30,-3.0754301386678122,43.318782045302235
4796787.637,494028.5944,30,-3.0736493172757773,43.323905777752465
4795932.096,493047.4533,30,-3.0857395374033767,43.31619356271624
4795775.728,494292.7953,30,-3.07038023647298,43.31479601468117
4795456.797,493454.6897,30,-3.080711796090898,43.311917346474594
4796073.501,492162.6284,30,-3.0966532948731467,43.317458155136556
4795942.859,493453.7437,30,-3.0807292547749494,43.31629412505778
4795787.541,493860.5474,30,-3.0757107685844596,43.31489898180218
4796651.631,494374.6021,30,-3.06938038365129,43.322683770020696
4795478.592,494018.4113,30,-3.0737606526727848,43.31211829539412
4796791.404,494094.2005,30,-3.0728401947770356,43.32394021613215
