COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;;PRECIPITACIÓN ACUMULADA (l/m2);;;;;;;;;;
C058;Bidania;592;366.5;72;73.7;133.6;164.4;57.7;68.5;85.3;62.4;143;438;114.8;1779.9
C0F0;Ereñozu;25;308.3;62.5;89.2;126.5;204.7;104.8;106.6;97.8;73.7;160.4;444.6;145.8;1924.9
C0F1;Eskas;650;479.6;114.9;132.5;158.9;453.2;128.2;161.3;138.9;106;231.5;634.8;281;3020.8
C0E7;Estanda;195;284.6;66.5;35;91.7;86;30.4;45.7;68.6;47.2;79;309.7;124;1268.4
C0DC;Ibai Eder;90;359.7;68.5;64.5;85.3;88.5;34.2;47.7;65.9;45.4;85.7;385.3;117.3;1448.0
C0EC;Lasarte;18;288.1;75.5;83.8;115.7;164;67.1;92.7;81.3;67.7;135.7;419.6;137;1728.2
C0DE;Matxinbenta;250;295;76.9;67.5;113.2;111;27.1;49.3;66.5;50.5;99.9;327.2;111.9;1396.0
C017;Miramon;113;259.2;55;68.4;120.2;218;64;120.3;94.9;67.6;165.7;472.6;137.1;1843.0
C0F4;Oiartzun;53;189.3;65.4;77;110.6;273.1;89.9;105.6;96.6;90;174.9;425.7;119;1817.1
C0D1;Oñati;195;288;54.1;47.7;93.5;107.4;24.9;47.6;65.3;80.5;101.7;376.8;158.7;1446.2
C043;Ordizia;243;260.9;53.5;42.3;93.1;97.3;41.2;52.7;71.8;47.8;89.2;239;104.3;1193.1
C0D2;San Prudentzio;175;275.5;53.1;50.1;93.1;123.8;25.9;43.6;57.9;66.4;106.6;397;158.7;1451.7
C0D0;Urkulu;340;250.5;51.7;34.9;115.5;92.4;38;58.8;70.5;74.8;92.6;355.5;114.2;1349.4
C064;Zarautz;80;169.3;26;52.1;102.5;108.8;42;88.2;85.9;63.7;121.4;353.7;115.8;1329.4
C028;Zegama;520;317.7;50.3;65.8;75.6;129.3;34.8;66.3;69.7;59.4;93.9;483.2;177.8;1623.8
C029;Zizurkil;149;235.2;40.6;53.1;106.1;118.2;53.1;94.1;76.3;62.2;96.6;381.7;132.8;1450.0
