_id,URTEA/ANIO,JARDUERA_ZENBAKIA/NUM_ACTUACION,ALTA_DATA/FECHA ALTA,ERABILTZAILEA_EU/USUARIO_EU,ERABILTZAILEA_CAS/USUARIO_CAS,UDALERRIA/MUNICIPIO,HELBIDEA/DIRECCION,ESPEZIE/ESPECIE,KOKALEKUA/UBICACION,ALTUERA/ALTURA,DIAMETROA/DIAMETRO,longitude,latitude,EGOERA_EU/ESTADO_EU,EGOERA_CAS/ESTADO_CAS,ITXIERA_DATA/FECHA CIERRE,ITXIERAKO AGENTEA_EU/AGENTE CIERRE_EU,ITXIERAKO AGENTEA_CAS/AGENTE CIERRE_CAS
28,2019,578,2019-07-22 00:00:00,BASALAN,BASALAN,ABADIÑO,   ,AVISPA ASIÁTICA,ARBOLADO,1,10,"531944,044","4780419,992",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-07-22 00:00:00,BASALAN,BASALAN
29,2019,683,2019-07-30 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,IRAZOLA Nº7,AVISPA ASIÁTICA,CONSTRUCCIÓN,6,20,"532173,2799","4775351,385",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-02-08 00:00:00,BASALAN,BASALAN
30,2019,753,2019-06-08 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,MUNTSARATZ Nº 22,AVISPA ASIÁTICA,CONSTRUCCIÓN,6,20,"531612,4165","4775866,859",ITXITA - EZIN DA EZABATU,CERRADA - NO ELIMINABLE,2019-06-08 00:00:00,BASALAN,BASALAN
31,2019,938,2019-08-19 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,ASTOLA Nº1,AVISPA ASIÁTICA,ARBOLADO,12,60,"531676,9774","4779213,04",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-08-20 00:00:00,BASALAN,BASALAN
32,2019,962,2019-08-20 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,GEREDIAGA  Nº2,AVISPA ASIÁTICA,ARBOLADO,1,45,"532167,0682","4779269,165",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-08-21 00:00:00,BASALAN,BASALAN
33,2019,1067,2019-08-27 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,IRAZOLA AUZOA 7  ,AVISPA ASIÁTICA,CONSTRUCCIÓN,8,10,"532166,7159","4775349,208",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-08-28 00:00:00,BASALAN,BASALAN
34,2019,1074,2019-08-27 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,N-636 18  ,AVISPA ASIÁTICA,ARBOLADO,16,80,"531734,0599","4777518,593",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-08-28 00:00:00,BASALAN,BASALAN
35,2019,1220,2019-06-09 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,LEKUA BARRIO MUNTSARATZ 36C  ,AVISPA ASIÁTICA,ARBOLADO,10,50,"532091,4914","4777002,77",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-09-09 00:00:00,BASALAN,BASALAN
36,2019,1296,2019-12-09 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,MURUETA Nº8,AVISPA ASIÁTICA,CONSTRUCCIÓN,4,20,"530826,7943","4779782,069",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-09-13 00:00:00,BASALAN,BASALAN
37,2019,1528,2019-09-30 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,GAZTELUA Nº12,AVISPA ASIÁTICA,CONSTRUCCIÓN,3,40,"532440,9042","4778406,321",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-01-10 00:00:00,BASALAN,BASALAN
