COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;;TEMPERATURA MEDIA (ºC);;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C0C3;Sodupe;56;9.7;8.8;9.0;11.7;15.2;17.8;19.8;20.6;18.8;14.6;10.1;8.9;13.8
C066;Untzueta;764;6.8;5.3;5.0;7.6;11.6;14.5;16.3;18.1;16.7;13.1;8.0;7.8;10.9
C022;Urkiola;709;6.6;5.3;4.3;6.6;10.7;13.6;15.4;16.7;15.0;11.0;6.3;5.0;9.7
C0B3;Urkizu;75;9.4;8.4;8.4;11.2;15.0;17.6;19.4;20.4;18.6;14.1;9.8;8.8;13.4
C037;Venta Alta;162;10.7;9.1;9.0;11.6;15.0;17.3;19.4;20.5;18.9;14.9;10.8;9.9;13.9
C0E5;Agauntza;180;9.4;8.4;8.5;11.5;15.0;17.9;19.7;20.4;18.7;14.1;9.7;8.3;13.5
C0DB;Aitzu;312;7.4;6.3;6.6;9.8;14.1;17.1;18.7;19.3;17.5;12.5;8.3;6.7;12.0
C0D3;Aixola;320;8.7;7.3;7.6;10.2;13.8;16.4;18.1;18.8;17.4;12.9;8.8;7.7;12.3
C0DD;Aizarnazabal;25;10.3;8.7;8.7;11.7;15.2;17.4;19.4;19.9;18.3;13.5;9.9;9.5;13.5
C0E9;Alegia;90;9.3;8.8;9.2;12.1;15.8;18.5;19.9;20.6;18.9;14.3;9.6;7.5;13.7
C078;Altzola;17;9.7;8.7;8.8;11.4;14.8;17.2;19.2;19.7;18.4;13.9;10.1;9.1;13.4
C052;Ameraun;285;8.9;7.6;7.8;10.5;13.8;16.2;18.0;18.9;17.3;13.3;9.2;8.2;12.5
C0E1;Amundarain;111;9.1;7.9;8.1;11.3;14.6;17.5;19.2;19.9;18.4;13.7;9.3;7.5;13.0
C077;Andoain;52;10.3;8.8;9.1;12.4;15.3;17.4;19.3;19.8;18.4;13.9;10.1;9.0;13.7
C080;Añarbe;184;9.0;7.9;8.3;10.9;14.5;16.8;18.5;19.1;17.6;13.1;8.8;7.6;12.7
C0E8;Araxes;141;9.0;8.0;8.5;11.2;14.6;17.4;19.3;19.9;18.4;15.2;11.8;9.4;13.6
C023;Arrasate;318;8.4;7.0;7.1;10.0;14.0;17.0;19.0;20.0;18.4;13.6;8.9;7.6;12.6
C084;Behobia;5;10.9;9.2;9.7;12.4;15.7;17.9;20.2;20.9;19.4;15.2;10.7;10.3;14.4
C0EA;Belauntza;105;9.3;8.3;8.8;11.9;16.4;19.3;21.1;21.6;19.9;15.2;10.7;8.5;14.2
C026;Berastegi;379;8.3;7.1;7.1;10.0;13.5;16.4;18.2;19.2;17.7;13.9;9.3;7.9;12.4
C058;Bidania;592;7.6;6.0;5.8;8.7;12.5;15.6;17.4;19.1;17.1;13.4;8.2;8.2;11.6
C0F0;Ereñozu;25;10.3;9.3;9.7;12.1;15.6;17.9;19.6;20.1;18.4;13.9;9.7;8.6;13.8
C0E7;Estanda;195;9.2;8.1;8.6;11.7;15.3;18.4;20.2;21.1;19.3;14.5;9.7;8.1;13.7
C018;Higer;43;13.2;10.9;11.0;13.4;16.4;18.5;21.1;21.6;20.4;16.5;12.2;12.3;15.6
C0DC;Ibai Eder;90;10.8;9.7;10.0;12.9;16.7;19.3;21.2;21.8;20.2;15.5;11.1;9.9;14.9
C071;Jaizkibel;545;9.2;7.3;7.3;9.7;13.1;15.4;17.6;19.2;17.8;14.9;9.9;10.7;12.7
C0EC;Lasarte;18;10.9;9.4;9.4;12.1;15.5;17.9;19.8;20.5;19.1;14.8;10.6;10.4;14.2
C0DE;Matxinbenta;250;10.7;9.6;9.9;12.5;16.1;18.8;20.5;21.0;19.4;15.0;11.1;9.9;14.5
C017;Miramon;113;10.2;8.7;8.9;12.6;15.8;17.9;20.0;20.8;19.2;15.2;10.9;10.8;14.3
C0F4;Oiartzun;53;10.9;9.5;10.0;12.7;16.1;18.4;20.7;21.0;19.5;15.1;10.7;9.8;14.5
C0D1;Oñati;195;8.8;8.0;8.2;10.9;15.0;17.9;19.6;20.4;18.8;13.7;9.2;7.3;13.1
C043;Ordizia;243;9.9;8.9;9.1;12.3;15.8;18.7;20.7;21.4;19.7;15.3;10.6;9.6;14.3
C0D2;San Prudentzio;175;9.3;8.3;8.6;11.2;15.3;18.3;20.2;21.0;19.3;14.5;10.0;8.2;13.7
C007;Santa Clara;48;11.7;10.2;10.3;12.7;15.7;17.6;20.0;20.4;19.5;15.5;11.6;13.7;14.9
C0D0;Urkulu;340;9.0;7.3;7.5;10.3;14.2;17.1;18.8;19.7;17.9;13.3;9.1;7.3;12.6
C064;Zarautz;80;11.7;10.1;10.1;12.5;15.4;17.6;19.9;20.7;19.4;15.6;11.7;11.7;14.7
C028;Zegama;520;8.9;7.5;7.4;10.2;14.2;17.3;19.0;20.8;18.7;14.6;9.5;8.8;13.1
C029;Zizurkil;149;11.0;9.5;9.5;12.4;15.9;18.3;20.2;21.0;19.5;15.5;11.2;10.7;14.6
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;;TEMPERATURA MEDIA (ºC);;;;;;;;;;
