COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;PRECIPITACIÓN MÁXIMA EN UN DÍA (l/m2);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C0F0;Ereñozu;25;57.9;18.2;44;20.9;30;30.2;17.5;75.1;51.2;14.2;58.6;38.8;75.1
C0F1;Eskas;650;;;;;;;;;;22.1;66.4;;66.4
C0E7;Estanda;195;63.3;18.4;37.4;12.4;18.8;18.7;17.4;54;18.1;11.3;25.5;42;63.3
C0DC;Ibai Eder;90;93.7;19;58;16.8;28.5;17;16.2;28.5;24.2;18.3;50.6;56.2;93.7
C0EC;Lasarte;18;58;17.8;34;16.9;21.9;13.3;18.4;53.9;38.2;24;53.6;40;58.0
C0DE;Matxinbenta;250;63.6;18.2;47.5;13.4;31.1;17.2;28.2;35.4;22.9;11.8;27.3;52.6;63.6
C017;Miramon;113;36.2;25.9;34.1;14.8;26.4;60.5;16.9;41.8;40.6;21.6;62.1;30.9;62.1
C0F4;Oiartzun;53;41.6;25.7;35.7;18.8;29.9;28.7;20.1;71.3;43;12.2;50.3;33.7;71.3
C0D1;Oñati;195;57.7;20.7;35.4;16.9;31.3;13.5;14.3;11.2;12.5;18.8;24.3;43.5;57.7
C043;Ordizia;243;61.2;21.1;26.4;13.5;19.5;32.1;21.3;56.1;19.4;20.2;28.9;30.5;61.2
C0D2;San Prudentzio;175;56.6;22.5;32.5;19.7;26.5;10.7;12.8;11.8;17;19.8;30.6;50.3;56.6
C0D0;Urkulu;340;55.3;18.1;53.8;15.2;26.4;20;36.9;13.4;12.2;15.4;29.8;45.3;55.3
C064;Zarautz;80;25.4;19.6;34.6;12.2;24.9;13.7;11.2;42.5;22.8;26.1;36.2;30.8;42.5
C028;Zegama;520;64;28.2;41.8;20.2;15.4;44.6;12;39;12.8;15.3;25.5;42.8;64.0
C029;Zizurkil;149;80.4;18.6;35.7;19.2;21.2;14.6;12.2;34.6;27.7;30.3;46;35.3;80.4
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;PRECIPITACIÓN MÁXIMA EN UN DÍA (l/m2);;;;;;;;;;;
